article_id	key	status	count	channel_uid	updated_at	local_path	detail
988d730e-ab02-49c6-9dc2-864b330a1ce8	[048]	done	5	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:34Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[048]作意 = 作意的能量.md	
b3fecef7-ff6f-430c-baa5-d4f336d1e254	[048b]	done	9	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:39Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[048b].md	
26217341-d6b0-492a-8416-c015f49d4262	[049]	done	7	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:42Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[049]增盛 = 身净色增多的能量.md	
6101b996-8a88-4f7c-baf7-2924d2e867d9	[050]	build_error	0	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:44Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[050].md	分段行数不一致（远端 5 段 / 本地 5 段；第一处不同在第 3 段：远端 1 行、本地 2 行）
69d8a533-7e0f-4158-a5c8-c55b985c9f6c	[050b]	done	4	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:48Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[050b]因意乐而转变的样态.md	
9cc22a4f-0a46-4fc6-9488-c6c29734925a	[050c]	done	8	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:51Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[050c]因所缘过强而转变的样态.md	
72df547c-c229-401d-aacf-dbfb3567a6d3	[051]	done	11	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:15:56Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[051].md	
330ac78a-ca1d-4e76-8bab-b9428f4a7c93	[051b]	done	115	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:10Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[051b]四大界的能量.md	
7d77fb51-e16e-4488-a35a-7e52dc4ca13b	[058]	build_error	0	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:14Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[058]14. 女性根 = 女性色.md	分段行数不一致（远端 18 段 / 本地 27 段；第一处不同在第 3 段：远端 4 行、本地 1 行）
513f15ef-7c7e-4c5b-ad79-6898992303be	[060]	done	12	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:18Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[060]不适合作根缘.md	
2c1ab9e1-8c92-4383-b984-af36840fe78c	[061]	done	11	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:23Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[061]眼所识 — 意所识.md	
3d46781a-7e9e-42a1-9e5c-d490be1c0f94	[061b]	done	26	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:31Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[061b]15. 男性色.md	
7b70e755-3343-4863-9962-eb2ca8053526	[063]	done	17	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:36Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[063]多闻相关的种种.md	
7202c023-997d-4ace-b6db-24ae68ba63bb	[064]	done	6	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:40Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[064]当性别转变时.md	
384ae665-0c8b-487a-a9bd-a9ddf70c8ba5	[064b]	done	23	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:45Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[064b]两性者.md	
3dfb87c3-17e4-46bc-a944-9f0a567f9652	[065]	done	3	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:48Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[065]所谓“一切时中都不安住”.md	
b1846327-d6df-42a4-9894-4fbf4e02d5e8	[066]	done	8	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:52Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[066]只能存在一种根的情形.md	
76cf8dc8-8de6-45f7-8407-035a1cfe1390	[066b]	done	11	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:16:56Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[066b]大医师们的能量.md	
16e09287-1474-41b5-8516-cec63b6fc97b	[067]	done	27	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:02Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[067] 16. 色命根.md	
aa1fc585-acbd-4397-9d39-135e97b45d32	[068]	done	22	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:07Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[068]无常 - 苦 - 无我 的自性.md	
85b062d5-d37b-44cd-8409-4139b6813b8b	[070]	done	21	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:12Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[070] 17. 心所依处色.md	
97dc8c44-a414-4c0e-8878-07367e670675	[071]	done	19	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:16Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[071]心脏肉与心脏血.md	
f1b86a29-85a1-4704-92c3-46bd45edb869	[071b]	done	15	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:21Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[071b]佛陀开示了心所依处色.md	
93891675-ecbd-4585-80ee-cc6b0cd1c025	[072]	done	45	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:27Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[072] 《法集论》圣典中未宣说的原因.md	
570d5336-aa9e-475a-8182-1e4a27031feb	[075]	done	45	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:33Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[075] 请以自性之理来比较衡量.md	
