khemaka	安稳
vijjācaraṇasampanna	具足明智与践行
viññatti	表
koliya	果利亚族
visuddhimagga-nidānakathā	清静之道·绪论
koccha	草编椅
pilindavaccha	毕陵达瓦察
Nidānavagga	因缘品
gandhārāma	鼻欢喜于香（喜香）
sālamaya	敬奉堂
tālakanda	扇椰子的芽
mahāgopālakasutta	大牧牛者经
manda pañña puggala	钝慧者
paccekabodhi	独觉
sappaccaya	有缘
QUM	引号 ➡ 引号外
akappiyasamādāna	劝受不净事
hatthapāsa	伸手所及
cf	参考
attādhipateyya	我主导
paccayasannicaya	资具存蓄
sāla	娑罗
bhikkhābhājana	钵
saṃkilesika	杂染
mahālikumāra	马哈离王子
bārāṇasī	巴拉纳希
khaṇika cittekaggata samādhi	刹那心一境性定
mettānisaṃsasutta	慈爱利益经
pakata	出色执行
udayabbayānupassana	生灭随观
ādiyeyya	盗取
jhāna vimokkha	禅那解脱
Vaccha	瓦察
vatthuka	依处
bhaṇḍagabbha	储物室
kasiṇānuloma	顺遍
kāḷudāyī	咖卢达伊
maṅgala	吉祥
niyatamicchādiṭṭhika	定邪见者
patibbatāvimāna	贞淑之妻天宫
sāmaññaniddesa	沙门义释
rassaṃ	短
vijānana	识别
vipula	广博
vinicchaya	判别
cetasikasukha	心乐
paṭipassaddha	已平息
bhojanāni naya	食物法
maggaṅgāna	道支
bodhighara	菩提殿
vipatti	失坏
asappāya iriyāpatha	不适宜姿势
na āsava	非漏
Migadāya	鹿野苑
appana javana vīthi	安止速行心路
nirutti	词源学
senāsanavatta	坐卧处行仪
upāsikā	近事女
sotāpatti	入流
Sirimā	西瑞玛
samūhaghana	组合密集
Kuru	俱卢
visāṇakatumba	盛油角器
aṭṭha akkhaṇā	八个非时节
satipaṭṭhāna	念处
parittadhamma	小法
samucchedavimutti	彻断解脱
sappaṭigha	有对的
kammaṭṭhānakathā	业处论
Sotāpanna	须陀洹
pariyattibahula	博学
bhaṇḍaparikappa	目标设定
kapallakapūvapabbhāra	锅饼谷
kalāpa	色聚
sīhāsana	殊胜处
utu samuṭṭhāna	由时节而生
sassata	常见
kusalamūla	善根
vacanasiliṭṭhatā	模糊语
anāgāmimagga	不来道
jhānaṅga	禅支
catubhūmaka	四地
Soṇa Thera	索那长老
sampattavirati	习惯离
bhāvanāsati	修习之念
māḷaka	凉亭
Nidānavagga	因缘品
bhagava	世尊
arūpasammūḷha	在非色上有迷惑的
kaṇhāgotamaka	黑色最上牛
parakkama	勇猛
အား	对……来说
vedanakkhandā	受蕴
asādhāraṇapaññatti	非共通制定
avikkhepa kicca	不散乱作用
aparāpariyavedanīya	顺后受
tadaṅga	暂时
pakāsanīyakamma	揭发甘马
vajjiraṭṭha	瓦基国
methuna	行淫
thambhā	固执
dubbala vipassanā	弱观
paccupaṭṭhitā	现起
adhisīla	增上戒
eḷakapādakapīṭha	羊脚椅
mahāmatta	官员
Magadha	摩羯陀国
sahajātarūpatthipaccaya	俱生的色有缘
abbuda	胚泡
muñcitabba	应被释放的
assasissāmi	我将入息
nissita	依著
purohita	国师
paṭibhāganimitta	似相
sītautu	令气候
sovacassata	善言（言谈的柔和，服从，文雅）
āyuparikkhaya	寿尽
pakārattha	方式状语
arahatta phala samādhi	阿拉汉果定
paramaṭṭha rūpadhamma	究竟色法
paramaṭṭha rūpa	究竟色
manoviññāṇa	意识
bhājanabhaṇḍaka	餐具
bahuvacana	复数
sudatta	善施
suvimuttacitta	心善解脱者
appanāsamādhi	安止定
viriya	精进
vedaṅga	吠陀的成份
kusalakamma patha	善业道
COI loc	名词
dhammapariyatti	法施设
bahussuta	多闻者
kappāsa	棉
kummagga	邪道
asurabhavana	阿修罗的领地
Pañcupādānakkhandhā	五执取蕴
nhānatittha	河边浴场
nāgamaṇḍala	龙结界咒
beluva	木橘
parāmaṭṭhadhamma sabhāva satti	究竟法自性力
bandhumatī	亲富
kahāpaṇa	咖哈巴那钱
bhaṅga ñāṇa	坏灭智
aṅgulimāla	指鬘
cakkhundriya	眼根
anupādiṇṇupādāni	非已取顺取
Vāggahaṇena	va字的意思是：
gayākassapa	嘎亚咖沙巴
cittassekaggata	心一境性
uddhacca	掉举
purisadammasārathi	可调伏之人的驯驭师
sakkatabhāsā	梵语
sārammaṇadhamma	有所缘法
vitakkacarita	多虑型
khandha	蕴
desanābhedata	开示的区别
viññāṇañcāyatanasaññāsahagata	与识无边处想俱行
bīraṇatthambhaka	须芒草丛
sudatta	善施
apāya	苦界
သော	的
bhavata	导师
kūṭāgārasālā	尖顶阁讲堂
ghānāyatana	鼻处
Pañhāvāra	问分
dhammādhiṭṭhāna	法处
apacaya	（还灭）离聚集者
sotāpatti magga	入流道
devadatta	天赐
satthakamma	外科手术
jātaveda	嘉塔威达
avijjamāna paññatti	不存在概念
sambodhi	完全觉醒者
mūlapaņņāsa	根本五十经
dutiyajjhāna	第二禅
devatānussati	天随念
vikappanattha	特殊的含义
sopānaphalaka	台阶
mahāsuvaṇṇa	多金
SV active verb	主动动词
sāliyava	稻麦
sīlana	戒行
khandha	蕴
juṇha	明亮
citta niyāma	心之定律
gutta	已保护
saṅkhatasaṅkhāra	有为行
khuddakamañcaka	小卧榻
khaṇikā pīti	刹那喜
upādārūpa	所造色
āhārapaccayaniddesa	食缘广释
Abhidhammatthavibhāvinī	阿毗达磨义广释
avijjānusaya	无明随眠
phoṭṭhabbāyatana	触处
āṇāpātimokkha	威令巴帝摩卡
paṭiccasamuppādadhamma	缘起法
paripucchakatā	遍问
catusamuṭṭhānikarūpa	四(因)所起色
Ciṇṇacaraṇo	行已熟练
ācayagāmi	流转
parivīmaṃsasutta	《彻思经》
pacchājātavippayutta	后生不相应缘
surā	酒
anaṅgaṇasutta	《无秽经》
ahosikamma	曾有业
gender	性
diṭṭhavisa	发现即中毒
majjhimabhāṇaka	中部诵师
upāli	伍巴离
kukkuṭārāma	古谷答僧园
attabhāvapariyāpanna	自体所属者
paccayuppanna	缘生
addhāpaccuppanna	一世现在
apāyadukkha	恶趣苦
cūḷekasāṭaka	小一衣
parimukhaṃ	在鼻下口上处
ajita	阿吉德
Phassapaccayā vedana	触缘受
kuraragharanagara	鹗居城
sāketa	沙凯塔
saṃvidhāvahāra	合伙作案
piṭṭhasurā	啤酒
sāmivacana	属格
အံ့	多种可能
khandhaka	犍度
vipassa	观照
vinayakamma	戒律仪轨
atta	我
upekkhindriya	舍受根
nāṭaputta	那德子
phalaka	木板
pubbaṅgama rasa	先导作用
niyyānikasāsana	导向解脱的教法
kammattha	宾语
sammāsaṅkappa	正思惟
sotasamphassassa	耳触的
subhanimitta	美丽的对象
samanantaraniruddha	无间灭去
saddadhātu	声界
pañcavagga	五人僧团
sāketanagara	沙凯塔城
paccavekkhaṇā	省察
ovāda	教诫
Mahāsāvaka	大弟子
sālohita	血缘关系者
abhiññāniddesa	神通义释
āsāḷhipuṇṇamadivasa	阿沙希月月圆日
amattaññuta	不知节量
vuṭṭhavāso	住于圣居
suppaṭipanna	善行道
diṭṭhivipatti	破见
tadangavimutti	对应部分的解脱
patibhaga nimitta	似相
abhayagirivāsī	无畏山寺派住处
paccayuppannadhamma	缘生法
jīvaka	基瓦咖
buddhapūjā	供养佛陀
ābhidhammika	阿毗达摩师
paññatti	概念
desavohāra	方言
sāratthadīpanī-ṭīkā	《芯意灯·复注》
kammanibbattakkhandha	业生蕴
Mahārohanagutta thera	马哈若哈那古达长老
Padumuttara buddha	胜莲花佛
abhidhammatthavibhāvinīṭīkā	显明阿毗达摩义疏
nāgabhavana	龙界
kiccarasa	功能性影响
lokadhātu	世界
avassaya	依止
nāma paramattha	究竟名
upaka	伍巴格
ādīnava ñāṇa	过患智
nimittakusala	善于相
niddhāraṇa	范围定语
anubodha	随觉
kaṅkha	疑
paṭṭhānappakaraṇa	众缘论
ekādasakanipāta	十一集
vuṭṭhāna gāminī vipassanā	至出起观
paññattimattavādī	仅为概念论者
cuti citta	死心
bhojanīya	主食
papañcasaññā	迷茫的认定
dhammārāma	意欢喜于法（喜法）
jotika	周提科
kambalapādukaā	毛织鞋
upayoga	宾格
khuddikā pīti	小喜
nīlanidassana	青现相
pīṭhikā	布缚椅
cetopariyañāṇa	他心智
dhona	除遣
laṭukikā	鹌鹑
sandiṭṭha	亲见
dhammaguṇa	法功德
ayassa	恶名
samaya	适时
vipubbakasaññāsahagata	脓烂想俱行
cāgānussati	舍随念
dhūmanetta	烟囱
pheṇapiṇḍa	乌贼骨
vipākadhammadhamma	果报本源法
kāyika dukkha	身苦
cittekaggatā	心一境性
dīghapiṭṭhikapeta	长背鬼
rūpāvacara jhāna javana	色界禅那速行
vipākahetu	果报因
abyābajjha	没有内心的烦恼
paṇīta	殊胜
pāpa	恶
sampayoga āṅga	相应支
sāhatthika	亲手盗取
satthar	大师
jhānukkantika	跳禅
saddārāma	欢喜于声（喜声）
dio-s	双宾语<次要>➡动词
vepullapatta	增广的
hetvattha	原因状语
kusalakamma	善业
gaṇanānaya	数息法
līnatthappakāsanā	隐义彰显
odhisa	有限定地
idappaccayata	此缘性
Pajāpati	生主
asaṅkhatadhātu	无为界
suddhāvāsadevaloka	净居天界
abhisaṅkhatasaṅkhāra	已作行
iddhimayapattacīvara	神变所成衣钵
āhāraja-ojaṭṭhamaka	食生食素八法聚
sakadāgāmimagga	一来道
rūpa paramaṭṭha	色究竟
kusalakhandha	善蕴
bhattaggavatta	食堂行仪
bahiddha	外在
anupiya	阿努比亚
dhammaguttā	昙马古塔
kalyāṇamitta Sutta	善友经
ခြင်	名化
upasamānussati	寂止随念
vinipātika	堕落者
ekattanaya	同一性理
pāveyya	巴韦亚
rājagaha	王舍城
tulyādhikaraṇasamāsa	同位复合词
atthapaṭisaṃvedī	了知义理
diṭṭhiṭṭhāna	主见的成因
āvajjanārammaṇa	转向所缘
nisīdanapallaṅka	宝座
ahivātaroga	蛇风病
Sammākammanta	正业
pisācanagara	恶鬼城
chaviññāṇakāya	六识身
kusaladhamma	善法
pajjota	光
aphoṭṭhabbatta	不可触性
pupphavāhana	布帕瓦哈叻
ārammaṇapaccaya	所缘缘
cariyāpiṭaka	所行藏
Mahāvihāra	大寺
haṃsavatīnagara	天鹅城
sutamayañāṇa	闻所成智
paripuṇṇapārisuddhi	圆满清净
dārusākaṭikaputta	运柴车夫子
sikhī	西奇
kaṭattārūpānaṃ	已作色
sampasādana	洁净
bhūmipappaṭaka	地片
avijjā	无明
chadaniṭṭhakā	瓦
Sineru	须弥山
alajjipuggala	无耻之人
sabhāva	本质
paṭipada	行道
līna	退缩
bhikkhunī	比库尼
akusalahetu	不善因
lakkhaṇā	相
Yadanicca Sutta	《凡无常经》
maggañāṇa	道智
arūpa	非色
upasamānussati bhāvanā manasikāra	寂止随念修习作意
tusita	喜足天
gijjhakūṭapabbata	鹫峰山
paṭinissaggānupassanā	定弃观
palālapīṭhaka	草木椅
muñcakesī	蒙嘉凯西
pañcadvāra	五门
Nipāta	集
rūpāvacaravipāka	色界果报
Paṭighasamphassa	有对触
phala ñāņa	果智
paramatthakathā	究竟论
cittaekaggacitta	心一境性的
arañña senāsana	林野坐卧处
saṃyuttaṃ	相应部
brāhmaṇa	婆罗门
aticāra	越轨
āvāsasappāya	住所适宜
အနက်	[多种可能]
ekārammaṇa	同所缘
uṇṇabhisi	皮毛垫
abhijjha	贪爱
nipphādana	促成
nibbedhabhāgiya	抉择分
vimutti	解脱
lokuttaramagga	出世间道
vipākābyākata	异熟无记
dhuvadhamma	定法
kaṇṇavijjhanamaṅgala	穿耳仪式
jambonadanikkha	瞻部金首饰
uṭṭhapita	推崇
Abhidhammatthasaṅgaha	摄阿毗达摩义论
aggābhā	火光
dhātuya	界
vissakamma	一切造者
Rāhula	罗睺罗
anicca	无常
tatramajjhattatā cetasika	中舍性心所
vihavati	住
Anuṭīkā	随注
kāsāva	袈裟
pron	代词
āhāratthipaccaya	食有缘
ākāsānañcāyatana jhāna	空无边处禅
mahātuṇḍila	大鼻
dvāra	门
gilānupaṭṭhākabhatta	看护病者食
appanā samādhi	安止定
paccaya dāyaka	资具施主
idapaccayatā	此缘性
abhayagata	已去往无畏者
micchāvācā	邪语
mahānāma	大名
jhānaṅga	禅支
