khemaka	安稳
khuddasikkhā	精华训练
sambhāvana	赞誉
cinapaṭṭa	中国丝绸
tādī	如如不动者
attavādupādāna	我语取
pariyodāte	净光
rājagahanagara	王舍城
maggavīthi	道心路
uddhaccanīvaraṇa	掉举盖
nimantanabhatta	邀请食
uddhacca kukkucca	掉举恶作
aparakāla	未来时
Mahāmoggallāna	大目犍连
ānāpāna nimitta	入出息禅相
saccaṭṭha	究竟之义
mahāpaduma	大红莲
bimbisāra	宾比萨勒
accantanirodha	究竟灭尽
aṭṭhakathācariya	义注师
yathākammupagañāṇa	随业趣智
vuccanti	被称为
ucchurasa	甘蔗汁
Cittānupassanā	心随观
saḷāyatana	六处
tissamahāvihāra	帝思大寺
pariyāyavacana	巧妙语
virāgānupassanā	离欲随观
saṃyuttanikāya-ṭīkā	相应部·复注
upasevana	依靠
sahajātapaccayo	俱生缘
tappaccayattā	此缘性
uttarā	伍塔拉
sabhāvadhamma	本质法
kāmavitakka	欲寻
bhavasukha	有乐
therīgāthā	长老尼偈
sāvaka	弟子
Kassapa	咖沙巴
brahmadevabuddha	梵天佛
sīlavanta	具戒
saṅghakamma	僧团甘马
upasamānussati	寂止随念
vipākacitta	果报心
ghositārāma	宏音僧园
ñāṇamukhe	智慧之门
rūpabhava	色有
kapilavatthunagara	咖毕拉瓦图城
aññathattaṁ	住
makkhā	覆藏
dukkhasaññā	苦想
copanavāca	活动语
uposathikabhatta	伍波思特食
nigrodhajātaka	榕树本生
Mūlapaṇṇāsa	根本五十经
anantarapaccayo	无间缘
dīghabhāṇaka	长部诵师
diṭṭha	见
akusalamūla	不善根
appaka naya	少数法
dutiya jhāna samāpatti vīthi	第二禅定心路
dhammapade vaggānamuddānaṃ	法句诸品摄颂
tikkha paññavā puggala	利慧者
impf	过去未完成时
paṭhamajhāna	初禅
antagata	已去往边际者
jīvitindriya	命根
cetanākamma	思业
vibhajana	分情况（讨论）
anukampa	慈悲
avijjamāna	不存在的
paṅgulopamā	跛足者喻
vinipāta	堕处
dīghavāpiraṭṭha	长湖国
mañcaaṭanī	床架
dabba	达巴
dhammādhipateyya	法主导
buddhaguṇa	佛的素质
kāyasmiṃ	于身
utuja-oja	时节生食素
dantapura	象牙城
kilesūpadhi	烦恼执
sīlavanta	具戒
kevalassa	整个
accantasaṃyoga	时空连续性
cittassa	心
mohamūla	痴根
pabbaja	灯芯草
samaṇadhamma	沙门义务
kāṇāda	迦那陀
bhāvanā	修习
neyyattha	未了义
kodhavagga	忿怒品
pasādakāya	净色身
amanussa	非人
appadhāna	从属词
ekodi	一境界
ruppati	变坏
mudu	柔软的
uparāja	储君
āhārāsā	食欲
tatiya jhāna samādhi	第三禅定
upatthambhakapaccaya	支助缘
bhāvetabbaṃ bhāvitaṃ	应被修习的已被修习
sumaṅgalavilāsinī	妙祥光耀
maccheramala	悭吝垢
kasibhaṇḍa	农具
အောက်	比……多
rāhula	拉胡勒
tattheva	仅仅在那
paribhogacetiya	受用洁地
nibbānagata	已去往涅槃者
ADV	副词
appamāṇa dhamma	无量法
arahat	阿拉汉
tatiya jhāna	第三禅
saddheyya vatthu	当信之事
Atthasālinī	胜义说
paṭiccasamuppāda	缘起
nevācayagāmināpacayagāmī	非去到流转法非去到还灭法（非去到聚集者非去到离聚集者）
mahājanaka	大生
navattabbārammaṇa	不宜说所缘
dhammasamūha	法聚
avijjāpaccayā saṅkhārā	无明缘行
piyaṅkaramātā	毗言咖拉母
cittalapabbata	吉达拉山
adhisīla sikkhā	增上戒学
dhammabhāva	法的状态
Sappabhāsaṁ cittaṁ	有光心
sekkhaṃ	有学
cetanāhāra	思食
kāyika dukkha vedanā	身苦受
kāyappasāda	触感
mūlasirī	根祥
purakkhata	现起于面前
kāyikasukha vedanā	身乐受
mahāekasāṭaka	大一衣
kāya saṅkhāra	身行
paṇḍava	频陀山
ကား	主语
diṭṭhivisūka	主见的观点
mahāsīva	马哈西瓦
thālaka	碗
maṃsacakkhu	肉眼
majjhimabhānaka	中部诵师
nirāmisa	离染
bhikkhunisaṅgha	比库尼僧团
yojanasata	百由旬
Cola	求拉
mahāsammata	大选君
sālisīsa	稻穗
samādhijaṃ	定生
rāgānusaya	贪随眠
pariccheda	节
kāyapayoga	身体的努力
isipata	仙人落处
NIO	被描述(主)➡定性(表)
padumaniraya	红莲地狱
rukkhamūla	树下
aggadhamma	至上的目标
maggahetuka	（俱）道因
katikavatta	承诺
vimuttaṃ	解脱
kusacīra	茅草衣
PUR	目的 ➡ 动词
Kaṇḍa	甘德
bhūmi	地
nirodhasamāpanna	灭尽定
cittassegaggatā	心的一境性
Nāḷikā	筒
muñja	卢荻
mahānibbāna	大般涅槃
āruppa	无色
manāpiya	可意
pāpa	恶
suññatānupassanā	空频观
Nandopananda	难陀波难陀
jhānasampayutta	禅那相应
kuṭi	孤邸
paccavekkhaṇa	反思
āyūhana rasa	努力作用
viññāņa	识
ākiñcaññāyatanasaññā	识无边处想
tusitabhavana	喜足天
ujjhānasaññi	嫌责想
dhammasaṅgaṇī	法集
yoni	生
sammasana cāra khetta	思惟行范畴
setabyā	赛达比亚
upacārabhāvanā	近行修习
catukka naya	四分法
nāmarūpapariccheda	名色限定
nirodhānisaṃsā	寂灭功德
saṅkhāra majjhattatā	舍中舍性
santāpa	热恼
māluta	马露塔
sampattirasa	效果影响
okāsaparikappa	设定位置
kaṭuka	香辛料
samudayo pahīnaṃ	[苦的]集已被舍断
so	彼
kasiṇa bhāvanā	遍修习
dakkhiṇeyya	应受供养的
tevijja	具足[三]明者
nissaya	依止
āmalakaghaṭa	余甘木罐
dhammassavanagga	闻法堂
arūpataṇhā	喜爱无形的存在
uggasena	伍咖先那
brāhmaṇavagga	婆罗门品
uddhaccasahagata	掉举俱行
māgaṇḍiyā	玛甘迪雅
jarā	老
pāsāṇadoṇi	石槽
lohitakasiṇa	红遍
saṅkhārapaccayā viññāṇa	行缘识
yaṭṭhisammuñjanī	长柄扫帚
anubandhanā naya	随行法
vesī	妓女
hirikopīna	私处
muditā	喜
cittakūṭa	吉德峰
bhikkhu	比库
kāya	身
satibala	念力
arūpadhamma	非色法
micchājīva	邪命
vāsuladattā	娲苏拉达答
byādhi dukkha	病苦
rukkhamūlika	树下住者
sandiṭṭhika	自见的
pariññātanta	彻底遍知
anupubbī katha	次第论
Visuddhi Magga	《清净之道》
niyyānikasāsana	导向解脱的教法
nirodhasamāpatti	寂灭之境界
appaka	少数
majjhimanikāya	中部
yasuttarā	亚苏陀罗
tuṇḍilajātaka	《猪鼻本生》
santabhāvena	平静
anuppāda	无生
Chachakka Sutta	《六六经》
nirodha ariya sacca	灭圣谛
maggārammaṇa	道所缘
mudubhūta	柔软
upāsikāparisā	近事女众
abhinivesa	黏着
catukka	四法
muditāvihārī	喜住
supaṇṇa	金翅鸟
somanassa vedanā	悦受
purejātapaccayatā	前生缘性
avirati	不远离
Samyutta	相应部
saṃyutta	相应部
sampaṭipādiyi	了知
upaladdhi	观念
gotamabuddha	果德玛佛
mahāpakaraṇa	大论
sāmaññalakkhaṇa	共相
sārambhā	冲动
iriyāpathavihāra	威仪住
naya	法
nicca	常
vitakkavicārānaṃ vūpasamā	由于寻伺止息
kāyapasāda	身净色
atīte vaṭṭa mūlaka dukkha	基于过去轮回之苦
guṇātirekasampadā	超卓功德成就
bhāvarūpa	性根色
buddhuppāda navamakhaṇa	佛陀出世第九刹时
kriyāmaya	动作完成
vāḷabījanī	牦尾扇
dakkho	能干的
paṭighasaññojana	嗔恚结
attadiṭṭhi	我见
mūlasikkhā	根本训练
sādhāraṇa	共通的
thūpika	尖顶
sota dvāra	耳门
sāvatthivāsī	沙瓦提居民
paṭibhāga nimitta	似相
līna	退缩
pabbatakathā	山岳论
rattakambala	红氍毹
sāsavavipākadhammadhamma	有漏异熟法法
viriyindriya	精进根
vīriyārambha	勤奋
saṅkhārapiṭaka	《行藏》
sabhāga	同分
virati	远离
nisada	碾板
nettippakaraṇapāḷi	nettippakaraṇapāḷi
vippayuttadhamma	不相应法
nijjhāna	洞察力
sabbaññū	一切知者
ālokakasiṇa	光明遍
lokiya sammāsamādhi magga	世间正定道
appaka	少数
suddhavipassanā	干观
hirikopī	私处
phuṭṭha	触点
magga ñāņa	道智
appanākosalla dhammas	安止善巧法
lohitapakkhandikāābādha	血痢病
saraṇappatta	已到达庇护所者
padālatā	足蔓
dukkaṭa	恶作
sampajānañāṇa	正知智
bhāvanā chanda	修习欲
sañjīvakaputta	复生子
nibbidānupassanā	厌离随观
cakkhusamphassa	眼触
uppalavaṇṇā	莲花色
appanā jhāna javana	安止禅速行
Padhāniyatissa	精勤帝须
phala kicca	果责任
paṇḍukambalasilāsana	黄毯石座
Bhaddiya	贤善
devatā	天神
vipassanānisaṃsā	观之功德
khaṇapaccuppanna	刹那现在
animitta	无相
andhakavinda	安达卡文达
rūparata	爱乐于色（爱色）
saddhindare	信力
tikadukapaṭṭhāna	三法二法众缘
āṇāpātimokkhuddesa	威令巴蒂摩卡诵
Sam	相应部
sammāvāyāma	正精进
paripuṇṇapārisuddhi	圆满清净
līnatthappakāsanā	隐义彰显
nirodha samapatti	灭尽定
kāraṇanaṃ	因由
brahma	梵天神
ātata	单面膜鸣乐
vajira	金刚杵
Gijjhakūṭa	灵鹫山
vipassanākammika	观行者
samathabhāvana citta	修止心
saṃsāra dukkha	轮回之苦
lavaṅga	丁香
yamunā	亚木那
sota dvāra vīthi	耳门心路
suttavibhaṅga	经分别
tāṇappatta	已到达保护者
dhota	洗涤
tusita	喜足天
samudaya ariya sacca	集圣谛
narakapāla	地狱狱卒
viñjha	温迪亚
catubhūmikacitta	四个层次的心
abhāna	出罪
ADJ_iti	引用内容修饰目标词
vitakkābhāvanā	寻修习
paṭhama chakka	第一组六法
padhāna	中心词
mūḷhadhātuka	生性愚钝
sudhamma	善法
kuhiñci	任何地方
khayavirāga	消亡离贪
sotadasaka	耳十法
kesi	葛西
tajjācakkhuviññāṇadhātu	相应的眼识界
mahāduggata	大穷人
paccayatā	此缘性
nandi	喜
Diṭṭhadhammasukhavihāra	现法乐住
candanagandha	旃檀香味
padaparama	文句为最者
paṭhama jhāna kathā	初禅论
kusala chanda	善欲
asoka	无忧
niddosabhāva	举动无污
paṭisandhi	结生
tatramajjhattatā	中舍性
adhicittasuttaṃ	增上心经
Smyutta	相应部
bhavanta	尊师
pātimokkha	巴帝摩卡
tāta	亲爱的
Anatta lakkhaṇa Sutta	无我相经
tacapañcaka	皮五法
opt	潜能式
sukhañca kāyena paṭisaṁvedeti	以身受乐
paṭṭhāna	众缘
mūlakammaṭṭhāna	根本业处
therīapadāna	长老尼传记
arahattaphala	阿拉汉果
kaṅkhāyitatta	疑性
tiparivaṭṭa	三类
eḷakacamma	绵羊皮
arūpadhātu	无色界
rūpārammaṇa	色所缘
sotāpatti magga	入流道
pariññeyya	应遍知的
tajjāmanodhātu	相应的意界
gati nimitta	趣相
gaṇanā	数
sikhara	兽角
samāsa	复合词
niyata	决定
āraññaka	林野住者
cittacetasika	心和心所
opakkamikapaṇḍaka	去势潘达咖
paccavekkhaṇa	反思
yojetabba	应该结合
buddhaputta	佛子
navattabba dhamma	不可说法
sampajāna	正知
iddhi	神变
akusalacetanā	不善思
rājabhaṭa	国家公务员
dhammadassī	见法
Rūpakammaṭṭhāna	色业处
abyāpāda	无嗔恚
koṭṭana	舂米
vibhattā bhāgaso mitā	被均匀分隔
dassanenapahātabbahetuka	见所断因
seṭṭhi	富翁
avadhāraṇattha	限制义
jāti dukkha	生苦
piyaṅkaramātā	毗言咖拉母
dhajaggaparitta	《旌旗顶护卫》
saṅkhāra loka	行世间
medhāvī	智者
janapadakalyāṇī	国色
asamphuṭṭhadhātu	不可触及的元素
virati	远离
attādhipateyya	我主导
vinipātika	堕落者
cakkavāḷapabbata	轮围山
bāhirāyatana	外处
piti	喜
katikavatta	承诺
araññakathā	林野论
lokuttaradhamma	出世间法
vijjā ñāṇa	明智
bsk	佛教梵语
sahajātatthipaccaya	俱生有缘
chadaniṭṭhakā	瓦
lābukatumba	竹筒
vitaṇḍavādī	诡辩论者
mahāroruva	大号叫
upanissayagocara	强依止行处
apamārika	癫痫者
pubbavaṭṭi	脓液
citta visuddhi	心清净
āhārajarūpa	食生色
mahāvihāra	大寺
pīḷakā	水疱
ñāta	所知
pīḷakā	水疱
atthapaññatti	意义概念
sirīsa	山合欢
lokabyūha	楼格比育哈
sikkhamānā	在学尼
vicikicchānusaya	疑随眠
mahātherī	大长老尼
āloka	光
rupakammaṭṭhāna	色业处
uttarā	伍塔拉
kāmavacara mahākusala citta	欲界大善心
nirayapāla	狱卒
paccayapariggaha ñāṇa	缘摄受智
jaṭilaka	嘉提拉科
sañjīva	山基瓦
aniccalakkhaṇa	无常相
ကြ	复数
pācittiya	巴吉帝亚
dānasālā	布施堂
词典查询法集合	词典查询
utujarūpa	时节生色
paccakkha	亲见
sabhāvasatti	自性力
puggalapaññatti	《人施设》
samathakammika	止行者
ussineti	捆绑
āḷava	阿拉瓦
niranusaya	无随眠
saccaṭṭha	究竟之义
eḷakacamma	绵羊皮
apacinati	损减
candapaduma	月莲
bandhuma	班都玛
niggahita	鼻音
Hiṅgulaka	朱砂
tikamātikā	三论母
lokiya sammāsamādhi maggaṅga	世间正定道支
moggaliputtatissa	摩嘎莉子帝思
anupālanakicca	维持的功能
abhiññācitta	神通心
bhattabhatikaseṭṭhi	饭食工富翁
vipassanā bhāvanā kammaṭṭhāna	观修业处
nābhi	轮毂
yathābhūtañāṇadassana	如实智见
uṇha	热
vikkhambhanaviveka	镇伏远离
STC abl verb  phrase	动词
rūpārūparāga	色贪无色贪
aññāsikoṇḍañña	安雅衮丹雅
sakkapañhasutta	沙格所问经
Buddhānussati	佛随念
kilesakāma	烦恼欲
suddha vipassanā	纯观
licchavirājaputta	离差维王子
vipāka	果报
purisindriya	男性根
vipākaviññāṇa	果报识
avadaññuta	不慷慨
tathāgata	如来
rūpa paramattha	究竟色
karīsa	亩
kho	的确
mandārava	曼陀罗花
āvajjanavasī	转向自在
jhānapaccayaniddesa	禅那缘广释
māyā	诳
brahmacariya	梵行
asubhakammaṭṭhāna	不净业处
appanākosallañāṇa	安止善巧智
āsavakkhaya	漏尽
sura	天神
puññābhisaṅkhāra	福行
brahmajālasutta	《梵网经》
gahita	包含
Buddhaputta	佛子
aṅguttaranikāya	增支部
sākha	枝杈
ahetukahetu	无因之因
amata	不死
āhāra samuṭṭhāna	由食而生
payoga	精勤
vinayavinicchayo	律裁定
sārathi	车夫
khīra	牛乳
buddhasāvaka	佛弟子
magga ariya sacca	道圣谛
sotasamphassa	耳触
ācariyavatta	对老师行仪
nippariyāya	究竟法
bandhujīvaka	玫瑰
khuddakapāṭha	小诵
khalagga	打谷场最先施
saṅkhāra dhammas	行法
base	词典源型
nandopananda	难都巴难德
ārammaṇūpanijjhāna	所缘近思禅
pahārāda	帕哈拉达
gāvuta	牛呼
Cunda	准德
virāgadhamma	离法
nāgasa	那嘎萨
codanā	质问
diṭṭhisambādha	主见的窘迫
sāmīci	恭敬
sotapasāda	耳净色
gati nimitta	趣相
arañña	林野
diṭṭhikantāra	主见的险恶
kilesasampayutta	杂染相应
āhāraja-ojaṭṭhamaka	食生食素八法聚
namakkāraṭīkā	礼赞复注
samāpattikusalata	入定善巧
anattalakkhaṇa	无我相
evaṃ	如此
tebhūmaka	三地
bhāsāṭīkā	缅疏
vema	织机
ahetukamanoviññāṇadhātu	无因意识界
vuṭṭhavāsa	修行的生活者
kiriyacitta	唯作心
Cāgānussati	舍随念
anila	阿尼喇
paṭighasaññojana	嗔恚结
setacchatta	白伞盖
nijjhāna	洞察力
samannāhāra	专念
anurodhavirodha	顺从与对抗
sānu	沙鲁
dassana kicca	照见作用
sabbaññutāñāṇa	一切知智
anusahagata	剩余
cittasaṃsaṭṭhasamuṭṭhānānuparivatti	心相杂等起随转
ṭhapanā naya	安住法
apacayagāmī	去到还灭（去到离聚集者）
viramaṇisikkhāpada	"自制"学处
sīlateja	戒德的能量
samuccayakkhandhaka	集犍度
assasissāmi	我将入息
nevasaññānāsaññāyatanasahagata	非想非非想处俱
janaka	生
diṭṭhinijjhānakkhanti	静虑后认可的见解
acelaka	裸行外道
muñcitabba	应被释放的
vitata	双面膜鸣乐
2p	第二人称
khandhakabhāṇaka	篇章诵者
adukkhamasukha cetovimutti	不苦不乐心解脱
nandana	欢喜园
sajjurasakaṅguṭṭhasilesa	桐油树脂、黑漆树脂
nipphādana	促成
nikanti	微细的欲求
Sammāpaṭipatti	正当行道
nāmarūpa	名色
asaṅkhāra	无行
ācariyāna	教师
sakkāya	有身（见）
phagguṇa	帕古那月
kiñci	任何
bodhipakkhiyadhamma	菩提分法
muṭṭhisammuñjanī	短柄扫帚
maraṇānussati	死随念
saṃgāyanassa-pucchā vissajjanā	结集问答
hetusampayuttaduka	因相应二法集
vedanāya	受的
kaṇṇikamaṇḍala	屋顶
samathavipassanā	止观
COC abl	参照对象→形容词比较级
vibhāvana	明确
sammāchandadhātu	正愿界
khanṇa paccupanna	刹那现在
Ayyamitta	阿亚米达
appaṭipatti	不行道
sāvatthī	沙瓦提
meṇḍaka	门答科
licchavirañña	离车族国王
upacāra jhāna javana	近行禅速行
kadalipatta	芭蕉叶
Dhammasaṅgaṇī	《法集》
aṅkura	安古勒
Kakusandha	咖古三塔
tattheva	仅仅在那
pajānāti	了知
micchatta	邪性
uṭṭhānaphalūpa jīvino	依靠奋斗结果生存者
ñātapariññā	智遍知
sakkāyadiṭṭhi	有身见
saṃvegavatthu	悚惧事
ajjhattika āyatana	内处
upekkhāsatipārisuddhiṁ	舍念遍净
Sutta	经
thina	心力不足
bhantatta	混乱
jhanasukha	禅悦
ekatta	同一性
abhijjhākāyagantha	贪欲身系
mettāsahagata	与慈俱行的
samudayasaccā	集谛
pārisuddhi	遍净
Theragāthā-aṭṭhakathā	长老偈·义注
muṭṭhipañcaka	准五肘尺
āpattivuṭṭhānakusalata	出罪善巧
sīhapañjara	格子窗
saṅgaha	包含
upāhanadaṇḍaka	鞋柄
adhamma	非法
paṭiñña	命题
jātiyāvana	生林
mūlasirī	根祥
papañcasūdanī	破斥犹疑
anotatta	阴凉
satthusāsana	导师的教法
samānādhikaraṇa	同位语
vayokoṭṭhāsa	风（界）身分
jhāna vīthi	禅那速行
khayavirāgānupassanā	消亡离贪随观
paññā cetasika	慧心所
amatappatta	已到达不死者
ālamba	阿兰巴
Mahāmahinda thera	马哈马兴达长老
gandhārāma	鼻欢喜于香（喜香）
natthipaccaya	无有缘
dasavatthukā micchādiṭṭhi	十事邪见
kaṇikāra	翅子树
mahaggatārammaṇa	广大所缘
rājapurisa	国王的内侍
ottappa	愧
vattamānavacana	现在式
Attā	我
dhammapariyāya	法门
nāmakkhandha	名蕴
sudassanavihāra	善见寺
catuvokāra	四蕴
paññākathā	慧论
jarābhaya	老灾
kāyaviññāṇadhātu	身识界
sarasa	本质
okāsaddhāna	空间行程
Nāgasena mahāthera	龙军大长老
vaṇṇa	色
vipassanāñāṇa	观智
kāmūpadhi	欲执
majjhattapayoga	中庸加行
brahmapurohita	梵辅天
vīsativagga	二十人僧团
asādhāraṇa	不共同
sabrahmacārī	同梵行者
purejātapaccaya	前生缘
uddhaccapakkha	掉举组
cuticitta	死心
siṃsapāvana	黑檀树林
vīmaṃsā	思维
DO@PV	被动语态双宾语
kammajarūpa	业生色
āyusaṅkhāra	寿行
sītibhāvasuttaṃ	清凉经
ādikammika jhānalābhī puggala	初获禅者
piṭṭhiduka	最终二法
abyākatahetu	无记因
paṭhamabhāṇavāra	第一篇
vicchiddakasaññāsahagata	穿裂想俱行
DIO-S	双宾语<次要>➡动词
jātaveda	嘉塔威达
kimatta	什么利益
Hārita	哈里德
sammāpaṭipattī	正行道
parāmaṭṭhadhamma	究竟法
maraṇāsannajavana	临终速行
paramatthajotika	究竟义炬
aviha	无损天
nibbidānupassana	厌离随观
upasampadā	达上
pathavīkasiṇaniddesa	地遍义释
vināsa abhāva	消失不在
navattabbārammaṇa	不宜说所缘
avigata	不离去
saraṇagamanūpasampadā	受皈依达上
thīnamiddhavinodanatā	去除昏沉睡眠
mahāgovinda	大克利须那神
akkosakabhāradvāja	辱骂者跋勒多瓦迦
appanāsamādhi bhāvanā	安止定修习
Mahāṭīkā	大复注
avīci]mahāniraya]。	无间大地狱
visuddhibrahmāna	清静梵天
attharaṇa	开展
āsāḷhipuṇṇamā	阿沙黑月圆[日]
adhisamādhi sikkhā	增上定学
samohacitta	有痴心
ājīvaparisuddhisīla	活命遍净戒
Gotama buddha	果达玛佛
cittassa	心
koṇāgamana	果那嘎玛那
Upasamānussati	止息随念
daratha	苦恼
asampajañña	不正知
jhānakasiṇukkantika	跳禅与遍
appanā	安止
tissadatta	帝思答塔
khaṇa	剎那
vanta	摒弃
jarādukkha	老苦
siṅgilasakuṇa	麻雀
sammappadhāna paccavekkhanatā	省察正勤
anusaya dhātu	随眠界
vedehikā	韦迭希咖
byāpāda	恶意
sappāyakathā	适宜谈论
သာဓက	例如
somanassa	悦
pakatisāvaka	普通弟子
dukkhasaccā	苦谛
paccuppanne vaṭṭa mūlaka dukkha	基于现在轮回之苦
micchāsati	错误的铭记
nindāya	非难
uparipaṇṇāsa	顶端五十
arūpavacara  samādhi	无色界定
asāmikabhāva paccavekkhaṇa	对非所有者存在的省察
mahākriyā	大唯作
sammutisacca	世俗谛
sīlānussati	戒随念
mallakatthera	马喇喀长老
bodhimaṇḍa	菩提座
suppabuddhakuṭṭhi	麻风病人善觉
sārammaṇadhamma	有所缘法
arahattassūpanissaya	阿拉汉强依止
nāma kalāpa	名聚
pariyantagata	已去往顶点者
siṅgī	纯金
pakiṇṇakavinicchaya	其他判别
anuññātapaṭiññāta	确定并接受
avitathatā	不背离事实性
lokuttarā sammāsamādhi	出世间正定
viharati	住
saṅkhāratarā	行法
bandhumati	亲富
vidhūpeti	离熏
salākagga	筹符屋
Nissaya	依词释
hiri	自重
paṭinissaggānupassanī	舍离随观者
jaṭila	髻发者
soka	愁
sugandha	香气
anussati	随念
Ariyamagga	圣道
satipaṭṭhānasutta	《念处经》
magadharaṭṭha	摩揭陀国
samādhikammika	止行者
aggimukha	阿格木卡蛇
khattiya	刹帝利
SOE	伴随关系
kudāla	锄头
assasissāmīti sikkhati	他学‘我将入息’
kuṭikaraṇa	孤邸用具
mahākaruṇā	大悲
avijjānīvaraṇa	无明盖
patilīnacara	蜷缩行者
janaka	生
mudu	柔软的
pasādarūpa	净色
paṭiccasamuppannadhamma	缘生法
tādibhāva	如如不动的状态
COO	并列关系
jīva	命
takkasila	答咖西喇
kriyāmaya	动作完成
bhaggā	跋嘎
SOI noun	名词
sahabhu	萨哈布
paccayasannissita	资具依止
Erakapattanāgarāja	香蒲叶龙王
paccayasampadā	资具成就
vipassanāgamana	维巴沙那来由
vitakkabahula	观察思考
aniccānupassī	无常随观者
anāvilasaṅkappa	意志不受干扰者
upagata	靠近
vitakkattika	寻三法
Visākhā	维沙卡
Venerable Vakali	瓦卡利尊者
cetanākāyasaṅkhāra	思身行
āvibhāvapāṭihāriya	显现神变
dukkhāvakkanta	沉溺于苦
sabhāva lakkhaṇa	自性相
sahabhu	萨哈布
gatakoṭika	顶端的到达者
maraṇabhaya	死灾
Ṭīkā	复注
pattapphala	菜叶
ārammaṇasaṅkantika	超所缘
paṭisandhikkhaṇa	结生的刹那
okkantikā pīti	继起喜
erāpatha	巨龙
phalañāņa	果智
sappāyapuggala	适宜之人
pattakaṭāha	熏钵锅
paññāvimutti	慧解脱
dukanipāta	二集
catuttha catukka	第四组四法
samādhikathā	定论
vinayavinicchaya-ṭīkā	律裁定·复注
uposathika	持守斋戒
sakiccakaraṇa	自作用
telanāḷi	油壶
vacīdvāra	语门
ābhassara	流光天
vajirūpama	金刚喻
nigamavāsitissa	村镇住者帝思
dosacarita	瞋型
saupādisesanibbāna	有馀依涅槃
kiriyahetu	唯作因
anotatta	阴凉
sammāsamādhi maggaṅga	正定道支
avītikkamo sīla	不违犯戒
apadāna	伟人传记
nimmānarati	化乐天
poṭakitūla	草棉
cayaniṭṭhakā	墙砖
cāpālacetiya	加巴拉塔
kāyika dukkha vedanā	身苦受
pattakaṭāha	熏钵锅
kāraṇa	原因
vedaka	受者
CONJ	连词→目标词
mahāvagga	大品
sīlakkhandha	戒蕴
mahājambupesi	大瞻部果
ayujjhapura	止战之城
rattakoraṇḍaka	红杜鹃
samudayasacca	集谛
vatthusabhāga	罪事同类
saṅkāsana	略说
kukkuccappakatatā	疑惑折磨
pahātabba	所断
buddhasāvaka	佛弟子
ratanaparitta	宝护卫
anicca lakkhaṇa	无常相
uttarakuruka	北俱卢洲人
paṭṭhapehi	建立
jayasumana	午时花
bahudhā	多层
tatiyāvibhatti	第三变格
kosajja	懈怠
ārammaṇattika	所缘三法
buddhavacana	佛语
pulinapūjaka	供沙
catūsacca	四圣谛
mahāvipāka	大果报
vijjamāna	存在
jātikhetta	诞生刹土
samatha vipassanā bhāvanā	止观修习
nissaggiyapācittiya	舍心堕
rukkhamūlagato	前往树下
chabbaggiyabhikkhu	六群比库
vīriyasaṃvara	精进防护
kabaḷīkārāhārapaccaya	团食缘
diṭṭhadhamma sukhavihārānisaṃsā	现法乐住功德
taṇhānissaya	爱依著
tappaccayattā	此缘性
pāraṅgata	已去往彼岸者
sammāvāyāma maggaṅga	正精进道支
lakkhaṇa	相
thena	偷盗
sāriputta	沙利子
phala ñāṇa	果智
pācaka tejodhātu	消化之火界
paṭisāraṇīyakamma	下意甘马
kāyagantha	身系
avipāka	非果报
lokakkhāyikakathā	世界起源论
atirāja	胜王
iriyāpatha  sappāya	姿势适宜
arūpāvacarabhūmi	无色界地
kalāpasammasana	聚思惟
diṭṭhivipphandita	见纷争
cetanākamma	思业
dutiya jhāna	二禅
paccavekkhaṇā ñāṇa	省察智
alomā	阿洛玛
sajjā	沙迦
mahiṃsakumāra	水牛童子
udāyi	伍达夷
abhabbuppattika	不再生
bāhanta	外条
kāḷayakkhinī	黑母亚卡
ānāpānassati jhāna samādhi	入出息念禅定
nidassana	比较
mahāsara	大湖
gambhīra	深邃
yamaloka	阎魔界
ADV_verb	引用内容做副词
visesanatā	形容词
sāmaṇerī	沙马内莉
gandhakuṭiya	芬芳精舍
pakatūpanissaya	本性亲依止
raṭṭhapāla	护国
ādāna	偷盗
ajjhattaṃ	内在的
ābujitvā	盘绕
uppalagandha	青莲香味
kusinārā	古西那拉
vitakkabahula	观察思考
paccaya satti	缘力
anuruddha	阿努儒达
pāsāṇadoṇi	石槽
sukhārammaṇa	乐所缘
manussa	人类
malla	马勒
asubha kammaṭṭhāna	不净业处
visabhāga utu	非同分气候
arūpavacara	无色界
asaññabhava	无想有
Hadayavatthu	心生起的物质基础
Silānussati	戒随念
godhika	果缇格
catta	舍弃
nindāya	非难
āḷavī	阿拉威
vebhāra	毗婆罗山
diṭṭhisampada	具见
anubhandhanā naya	随息法
ānāpāna uggahanimitta	入出息取相
pubbabhāgasatipaṭṭhāna magga	前分念处道
asamaṇa	非沙门
anāgāmi	不来者
kammasambhāra	业的资粮
seyyasaka	赛亚萨格
sambhāvana	赞誉
nibbānārammaṇa	涅槃所缘
gotta	姓氏
Tatrūpapannāti	彼处生起者
dīparukkha	灯柱
sokaparideva	愁悲
avīcimahāniraya	无间大地狱
avīci]mahāniraya]。	无间大地狱
phagguna	帕古纳
mattikābhaṇḍa	陶器
abhijjhā	貪求
vedeha	勤学者
vijjā ñāṇa	明智
dhammassavanagga	闻法堂
thina middha	昏沉睡眠
Ānāpānassati Sutta	入出息念经
kudāla	锄头
ဗျတိရိက်စကား	相比之下
indapatthanagara	德里城
orasaka	欧拉萨卡
upanāhā	怨恨
