candidate	count	vol	first_seen	in	context
စေတသိက်-၁၀	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[479]နာမရူပပစ္စယာ သဠာယတနံ/[495] ၅။ နာမ်ရုပ် ဖြစ်ခြင်းကြောင့် မနာယတန ဖြစ်ပုံ.md	()	- (နာမ် = စေတသိက်-၁၀။ ရုပ် = ဘဝင်္ဂုပစ္ဆ
ဘဝင်္ဂုပစ္ဆေဒနှင့် အတူဥပါဒ်သော ဟဒယဝတ္ထုနှင့် တကွသော ရုပ်-၅၄	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[479]နာမရူပပစ္စယာ သဠာယတနံ/[495] ၅။ နာမ်ရုပ် ဖြစ်ခြင်းကြောင့် မနာယတန ဖြစ်ပုံ.md	()	- (နာမ် = စေတသိက်-၁၀။ ရုပ် = ဘဝင်္ဂုပစ္ဆေဒနှင့် အတူဥပါဒ်သော ဟဒယဝတ္ထုနှင့် တကွသော ရုပ်-၅၄၊၊) - ၅။ စက္ခုဝိညာဏ်
ဖြစ်သော စက္ခုဝတ္ထုနှင့်တကွ ရုပ်-၅၄	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[479]နာမရူပပစ္စယာ သဠာယတနံ/[495] ၅။ နာမ်ရုပ် ဖြစ်ခြင်းကြောင့် မနာယတန ဖြစ်ပုံ.md	()	- (နာမ် = ယှဉ်ဖက်စေတသိက်-၇-လုံး။ ရုပ် = အတီတဘဝင် တစ်ချက်လွန်နှင့် ဥပါဒ်ချင်းပြိုင်၍ ဖြစ်သော စက္ခုဝတ္ထုနှင့်တကွ ရုပ်-၅၄။) - ၆။ သမ္ပဋိစ္ဆိုင
ဖြစ်သော ဟဒယဝတ္ထုနှင့်တကွ ရုပ်-၅၄	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[479]နာမရူပပစ္စယာ သဠာယတနံ/[495] ၅။ နာမ်ရုပ် ဖြစ်ခြင်းကြောင့် မနာယတန ဖြစ်ပုံ.md	()	- (နာမ် = ယှဉ်ဖက် စေတသိက်-၇-လုံး။ ရုပ် = စက္ခုဝိညာဏ်နှင့် ဥပါဒ်ချင်းပြိုင်၍ ဖြစ်သော ဟဒယဝတ္ထုနှင့်တကွ ရုပ်-၅၄။ သန္တီရဏစသည်တို့၌ န
ဤပဋိစ္စသမုပ္ပါဒ်ပိုင်း ၅၁၁-၅၁၂	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[506]ဖဿပစ္စယာ ဝေဒနာ/[507] စက္ခုသမ္ဖဿပစ္စယာ ဝေဒနာ.md	()	စက္ခုဒွါရဝီထိနောင် ဆက်လက်၍ ဖြစ်ကြသည့် ရူပါရုံကိုပင် ဆက်လက်၍ အာရုံယူကြသည့် မနောဒွါရာဝဇ္ဇန်း ဇော တဒါရုံတို့နှင့် ယှဉ်ကြသည့် မနောဒွါရိက ဝေဒနာတို့အားလည်း စက္ခုသမ္ဖဿက ဥပနိဿယသတ္တိဖြင့် ကျေးဇူးပြုနိုင်သောကြောင့် ယင်းဝေဒနာတို့သည်လည်း စက္ခုသမ္ဖဿဇာ ဝေဒနာ စက္ခုသမ္ဖဿပစ္စယာ ဝေဒနာတို့ပင် ဖြစ်ကြသည်။ (အဘိ၊ဋ္ဌ၊၃၊၃၆၈။) (ဤပဋိစ္စသမုပ္ပါဒ်ပိုင်း ၅၁၁-၅၁၂ - စသည်တို့၌လည်း ကြည
ဇော-၇	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[506]ဖဿပစ္စယာ ဝေဒနာ/[515] စိတ္တက္ခဏခွဲ၍ အကြောင်း အကျိုး သိမ်းဆ.md	()	(ဇော-၇- ကြိမ် စေ့အောင် ရှု
နံပါတ် - ၁	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[525] တဏှာပစ္စယာ ဥပါဒါနံ/[530]b သညာက္ခန္ဓာ၌ သက္ကာယဒိဋ္ဌိဖြစ်ပုံ (၄) မျိုး.md	()	သညာသည် ငါဖြစ်၏၊ ငါမှတ်သားတတ်၏ ငါမှတ်မိ၏။ (နံပါတ် - ၁ - စွဲယူမှုမျိုးတည်း
သုမေဓာထေရီဂါထာ ဂါထာနံပါတ်-၅၂၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[554] ဇာတိပစ္စယာ ဇရာမရဏံ/[582] အတိတ်အဆက်ဆက် - အနာဂတ်အဆက်ဆက်သို့.md	()	(သုမေဓာထေရီဂါထာ ဂါထာနံပါတ်-၅၂၃။) ဓနဉ္ဇာနီ， ခေမာ，
သောမနဿဖြစ်လျှင်-၃၄	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[599]b တိဟိတ် ပဋိသန္ဓေ ကမ္မဇရုပ် = ရူပက္ခန္.md	()	- ၁။ (က) ဟဒယဝတ္ထုမှ တစ်ပါးသော (၂၉)မျိုးသော ကာမတိဟိတ် ပဋိသန္ဓေကမ္မဇရုပ် ပစ္စယုပ္ပန်တရားတို့သည်ဆိုင်ရာ ကာမတိဟိတ် ပဋိသန္ဓေနာမ်တရားစု (သောမနဿဖြစ်လျှင်-၃၄၊ ဥပေက္ခာဖြစ်လျှင်-၃
ဥပေက္ခာဖြစ်လျှင်-၃၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[599]b တိဟိတ် ပဋိသန္ဓေ ကမ္မဇရုပ် = ရူပက္ခန္.md	()	- ၁။ (က) ဟဒယဝတ္ထုမှ တစ်ပါးသော (၂၉)မျိုးသော ကာမတိဟိတ် ပဋိသန္ဓေကမ္မဇရုပ် ပစ္စယုပ္ပန်တရားတို့သည်ဆိုင်ရာ ကာမတိဟိတ် ပဋိသန္ဓေနာမ်တရားစု (သောမနဿဖြစ်လျှင်-၃၄၊ ဥပေက္ခာဖြစ်လျှင်-၃၃၊) အစိတ်အပေါင်း နာမက
သို့မဟုတ်-၃၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[601] ပဋိသန္ဓေ ဟဒယဝတ္ထု ပစ္စယုပ္ပန်တရား တ.md	()	- ၁။ (က) ကာမတိဟိတ် ပဋိသန္ဓေနှင့် ဥပါဒ်ပြိုင်သော ကမ္မဇရုပ် - ဟဒယဝတ္ထု ပစ္စယုပ္ပန်တရားတို့သည် ကာမတိဟိတ် ပဋိသန္ဓေနာမ်တရားစု (၃၄-သို့မဟုတ်-၃၃) အစိတ်အပေါင်း နာမက္
သောမနဿဖြစ်လျှင် နာမ်တရား - ၃၄	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	ကာမတိဟိတ်ပဋိသန္ဓေ (၄)ခု (သောမနဿဖြစ်လျှင် နာမ်တရား - ၃၄၊ ဥပေက္ခာဖြစ်လျှင် န
ဥပေက္ခာဖြစ်လျှင် နာမ်တရား - ၃၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	ကာမတိဟိတ်ပဋိသန္ဓေ (၄)ခု (သောမနဿဖြစ်လျှင် နာမ်တရား - ၃၄၊ ဥပေက္ခာဖြစ်လျှင် နာမ်တရား - ၃၃) နာမက္ခန္ဓာ (၄)ပါး
နာမ်သဟဇာတမျိုး - ၁၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	- (ဆ) ဝိရတိကြဉ်သော မဂ္ဂင်(၅)ပါး ပစ္စည်းတရားတို့၏ **မဂ္ဂသတ္တိ၊ (နာမ်သဟဇာတမျိုး - ၁၃)** - ၂။ ကာမတိဟိတ်ပဋ
ရုပ်သဟဇာတမျိုး - ၆	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	- ၂။ ကာမတိဟိတ်ပဋိသန္ဓေ (နာမ်တရား ၃၄၊ ၃၃) အစိတ်အပေါင်း နာမက္ခန္ဓာ (၄)ပါး ပစ္စယုပ္ပန်တရားတို့သည် မိမိ (ကာမတိဟိတ် ပဋိသန္ဓေနာမက္ခန္ဓာ)နှင့် အတူဥပါဒ်သော ဟဒယဝတ္ထုပစ္စည်းတရားတို့၏ **သဟဇာတ အညမည နိဿယ ဝိပ္ပယုတ္တ အတ္ထိ အဝိဂတသတ္တိ၊ (ရုပ်သဟဇာတမျိုး - ၆)** - ၃။ ကာမ တိဟိတ်ပ
အနန္တရမျိုး-၅	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	- ၄။ ကာမ တိဟိတ်ပဋိသန္ဓေ (၃၄၊ ၃၃) အစိတ်အပေါင်း နာမက္ခန္ဓာ (၄)ပါး ပစ္စယုပ္ပန်တရားတို့သည် ချုပ်လေပြီးသော စုတိ (၁၉)မျိုးတို့တွင် တစ်မျိုးမျိုးသော နာမက္ခန္ဓာပစ္စည်းတရားတို့၏ **အနန္တရ သမနန္တရ ဥပနိဿယ နတ္ထိ ဝိဂတသတ္တိ၊ (အနန္တရမျိုး-၅)** - ၅။ ကာမ တိဟိတ်ပ
နာနာက္ခဏိကကမ္မမျိုး -၂	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	- ၅။ ကာမ တိဟိတ်ပဋိသန္ဓေ (၃၄၊ ၃၃) အစိတ်အပေါင်း နာမက္ခန္ဓာ (၄)ပါး ပစ္စယုပ္ပန်တရားတို့သည် အတိတ်ဖြစ်သော ထိုက်သင့်ရာ တစ်မျိုးမျိုးသော တိဟိတ် ဥက္ကဋ္ဌ ကာမကုသိုလ်ကံ ပစ္စည်းတရားတို့၏ **နာနာက္ခဏိကကမ္မ ပကတူပနိဿယသတ္တိ၊ (နာနာက္ခဏိကကမ္မမျိုး -၂)** ဤ (၂၇)မျိုးသော
နာမ်တရား-၁၁	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[608] ပဉ္စဒွါရာဝဇ္ဇန်း - ရူပက္ခန္ဓာ.md	()	- ၁။ (က) ပဉ္စဒွါရာဝဇ္ဇန်း (နာမ်တရား-၁၁) = အစိတ်အပေါင်း နာမ
တိဟိတ် ဘဝင်ဖြစ်လျှင် နာမ်တရား ၃၄-၃၃	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[610] ပဉ္စဒွါရာဝဇ္ဇန်း (နာမ်တရား - ၁၁လုံး).md	()	- ၃။ အခြားမရှိသည်ဖြစ်၍ (မိမိရှေးက) ချုပ်လေပြီးသော ပဉ္စဝေါကာရ ဘဝင်္ဂုပစ္ဆေဒ (တိဟိတ် ဘဝင်ဖြစ်လျှင် နာမ်တရား ၃၄-၃၃၊) နာမက္ခန္ဓာပစ္စည်း
အဓိပတိ ကိစ္စတပ်ခိုက် - ၅	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[624] ဒေါသဇော နာမက္ခန္ဓာ (၄) ပါး.md	()	- ၂။ အာရမ္မဏမျိုး --- ၄၊ (အဓိပတိ ကိစ္စတပ်ခိုက် - ၅) - ၃။ အနန္တရမျိုး -
အာသေဝနထည့်သော် - ၆	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[624] ဒေါသဇော နာမက္ခန္ဓာ (၄) ပါး.md	()	- ၃။ အနန္တရမျိုး --- ၅၊ (အာသေဝနထည့်သော် - ၆) - ၄။ ဝတ္ထုမျိုး --
အဓိပတိကိစ္စတပ်ခိုက် အဓိပတိထည့်သော် - ၅	1	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[624] ဒေါသဇော နာမက္ခန္ဓာ (၄) ပါး.md	()	(အဓိပတိကိစ္စတပ်ခိုက် အဓိပတိထည့်သော် - ၅။) - ၃။ ဒေါသမူ ပထမဇေ
