candidate	count	vol	first_seen	in	context
စေတသိက် - ၃၁	5	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[155] ပဋိသန္ဓေအကြောင်း သိကောင်းစရာ/[178]b ရူပါရုံလိုင်း - ကုသိုလ် ပထမဇော - ဝေဒ.md	()	**(စေတသိက် - ၃၁ - လုံး - ဒု -)** -
ရှိသော -၅၄	2	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[399] သိမ်းဆည်းရှုပွားပုံစနစ်.md	()	(စက္ခုဝတ္ထု အဝင်အပါ မျက်စိ၌ ရှိသော -၅၄- မျိုးသောရုပ်， ဟဒယဝ
စေတသိက် - ၈	2	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[272] ရူပါရုံလိုင်း - သမ္ပဋိ စ္ဆိုင်း (= လ.md	()	**ရူပါရုံလိုင်း - သမ္ပဋိ စ္ဆိုင်း - သင်္ခါရက္ခန္ဓာ (စေတသိက် - ၈ - ကောက် - ဒု -)**
စေတသိက် - ၉	2	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[274] ရူပါရုံလိုင်း - သန္တီရဏ (= စုံစမ်း) ခန္ဓာ (၅) ပါး1.md	()	**ရူပါရုံလိုင်း - သန္တီရဏ - သင်္ခါရက္ခန္ဓာ (စေတသိက် - ၉ - လုံးကောက် - ဒု -)
စေတသိက် - ၃၃	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[459]ဝိညာဏပစ္စယာ နာမရူပံ/[472] ၂။ သဟဇာတဝိညာဏ်ကြောင့် သဟဇာတနာမ်ရုပ် ဖြစ်ပုံ ရှုကွက်ပုံစံအချို့1.md	()	(နာမ် = စေတသိက် - ၃၃။ ရုပ် = ကမ္မဇရုပ် -
စေတသိက် - ၁၀	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[459]ဝိညာဏပစ္စယာ နာမရူပံ/[472] ၂။ သဟဇာတဝိညာဏ်ကြောင့် သဟဇာတနာမ်ရုပ် ဖြစ်ပုံ ရှုကွက်ပုံစံအချို့1.md	()	(နာမ် = စေတသိက် - ၁၀။ ရုပ် = စိတ္တဇရုပ်။
နာမ်တရား ၃၄၊ ၃၃	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[602] ကာမတိဟိတ် ပဋိသန္ဓေ နာမက္ခန္ဓာ (၄) ပါ.md	()	ယင်းကာမတိဟိတ် ပဋိသန္ဓေ (၄)ခု နာမက္ခန္ဓာ (၄)ပါး (နာမ်တရား ၃၄၊ ၃၃၊) ပစ္စယုပ္ပန်တရားတိ
နာမ်တရား - ၁၁	2	vol_3	vol_3/markdown/[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ/[613] သမ္ပဋိစ္ဆိုင်း ခန္ဓာ (၅)ပါး.md	()	- ၁။ (က) သမ္ပဋိစ္ဆိုင်း (နာမ်တရား - ၁၁) အစိတ်အပေါင်း နာမက္
နှာ-၁၈၉-၁၉၀	1	vol_1	vol_1/markdown/[186]သမာဓိထူထောင်သင့်ပုံပိုင်း/[233]ထပ်မံစဉ်းစားရန် အချက်တစ်ရပ်.md	()	ထို မဟာဂေါပါလကသုတ္တန်အဋ္ဌကထာတွင် အထက် (နှာ-၁၈၉-၁၉၀) တွင် ဖော်ပြခဲ့သည့်
စာမျက်နှာ-၃၄၆-၃၄၇	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[280]အာနာပါနလုပ်ငန်းခွင်သို့ ချဉ်းကပ်ပုံ နှစ်မျိုး/[316b]ကကစူပမာ = လွှ ဥပမာ.md	[]	စာမျက်နှာ-၃၄၆-၃၄၇ - ကြည့်ပါ။] (၁) အဿ
တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[351]သပ္ပါယ အသပ္ပါယ (၇) ပါး/[352c]တိရ စ္ဆာနကထာသုတ္တန်.md	[]	[၁။ ကာယဝိဝေက = တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂။ စိတ္တဝိဝေက = ဥပစာရ
ဥပစာရ-အပ္ပနာ နှစ်မျိုးပြားသော သမာဓိ တစ်ခုခုကို ထူထောင်လျက် စိတ်ကို နီဝရဏ အညစ်အကြေးတို့မှ ကင်းရှင်း စေလျက် နေခြင်း， ၃	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[351]သပ္ပါယ အသပ္ပါယ (၇) ပါး/[352c]တိရ စ္ဆာနကထာသုတ္တန်.md	[]	[၁။ ကာယဝိဝေက = တစ်ကိုယ်ရေ တစ်ကာယ ကင်းကင်းရှင်းရှင်း နေခြင်း， ၂။ စိတ္တဝိဝေက = ဥပစာရ-အပ္ပနာ နှစ်မျိုးပြားသော သမာဓိ တစ်ခုခုကို ထူထောင်လျက် စိတ်ကို နီဝရဏ အညစ်အကြေးတို့မှ ကင်းရှင်း စေလျက် နေခြင်း， ၃။ ဥပဓိဝိဝေက = ဥပဓိလေ
သန့်ရှင်းမှုကို ပြုခြင်းရှိသူ ဖြစ်ခြင်း， ၂	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[357]အပ္ပနာကောသလ္လ တရား (၁၀) ပါး/[410]သမာဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၁၁) ပါး.md	[]	၁။ ဝတ္ထုဝိသဒတာ = ဝတ္ထုဝိသဒကိရိယတာ = ကိုယ်တွင်းကိုယ်ပ နှစ်ဌာနသော ဝတ္ထုတို့၏ သန့်ရှင်းမှုကို ပြုခြင်းရှိသူ ဖြစ်ခြင်း， ၂။ ဣန္ဒြိယသမတ္တပဋိပါဒ
နှာ-၅၂၂-၅၃၀	1	vol_1	vol_1/markdown/[240]အာနာပါနဿတိသမာဓိပိုင်း/[427]ပဌမဇ္ဈာနကထာ/[435b]ဘဝင်စိတ်ဟူသည်.md	()	သို့အတွက် ဖလသမာပတ်နှင့် ဘဝင်တို့၏ ခြားနားချက်ကို သဘောပေါက်စေရန်အတွက် ဖလသမာပတ်အကြောင်း ကို နိဗ္ဗာနဂါမိနိပဋိပဒါ ပဉ္စမတွဲ ဝိပဿနာပိုင်း **ဖလသမာပတ္တိကထာ** (နှာ-၅၂၂-၅၃၀) တွင် ကြည့်ပါ။ တစ်
စာပိုဒ်-၆၄၇	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[545b]မဟာဘုတ် (= ဓာတ်ကြီး) လေးပါး.md	()	ဧတ္ထ စ “ကက္ခဠံ မုဒုကံ သဏှံ ဖရုသံ (သုခသမ္ဖဿံ ဒုက္ခသမ္ဖဿံ) ဂရုကံ လဟုက”န္တိ ပဒေဟိ ပထဝီဓာတု ဧဝ ဘာဇိတာ။ (အဘိ၊ဋ္ဌ၊၁၊၃၆၈၊ စာပိုဒ်-၆၄၇။) - ၁။ **ကက္ခဠ**န္
နှာ-၆၈၈	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[704]ဥတုဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ.md	()	ရှေး ဥတုဇရုပ် ဖြစ်ပွားပုံကို ဉာဏ်ဖြင့် မြင်အောင် ရှုပွားသိမ်းဆည်းပုံအပိုင်း တွင် (နှာ-၆၈၈ - စသည်၌) ဖော်ပြခဲ့ပ
နှာ-၆၇၂	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[708b]အာဟာရဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ.md	()	အထက်တွင် ဖော်ပြခဲ့သော အာဟာရဇရုပ်များ ဖြစ်ပေါ်လာပုံ အခြင်းအရာနှင့် ဆက်စပ်လျက်ရှိသော **အာဟာရဇရုပ်ဖြစ်ပုံအပိုင်း** (နှာ-၆၇၂)ကို ပြန်လည်၍ ဖတ်ရှု
စာမျက်နှာ-၆၄၉-၆၉၄	1	vol_1	vol_1/markdown/[535]ရုပ်ကမ္မဋ္ဌာန်းပိုင်း/[713]မဟာဋီကာ၏ ဖွင့်ဆိုချက်.md	()	အဆင့် အကြိမ် အနည်း အများကိုလည်း ရှေးတွင် ရှင်းပြခဲ့သည့်အတိုင်းသာ မှတ်သားပါ။ (စာမျက်နှာ-၆၄၉-၆၉၄ - တို့၌ ကြည့်ပါ။)
ဤကျမ်းစာ - ၃၁	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[3]b အာယတနဒွါရ - ကမ္မဒွါရ.md	()	ဤ နာမ်ကမ္မဋ္ဌာန်းပိုင်း၌ကား ကာယဒွါရနှင့် မနောဒွါရ အရ အာယတနဒွါရကိုသာ ဆိုလိုသည်ဟု မှတ်ပါ။ (ဤကျမ်းစာ - ၃၁ - စသည်၌လည်း ကြည့်ပါ
စာပိုဒ်-၆၇၁	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[8] ရိုသေစွာ လိုက်နာရမည့် စည်းကမ်းတစ်ရပ်.md	()	အလျော်အားဖြင့်ဆိုရမူ ကောင်းမွန်စင်ကြယ်စွာ ရုပ်တရားကို သိမ်းဆည်းခြင်း ရှိပြီးသည်ဖြစ်၍ နာမ်တရားကို သိမ်းဆည်းခြင်းငှာ ကြိုးစားအားထုတ်ခြင်း လုံ့လပယောဂကို ပြုလုပ်သော ယောဂါဝစရပုဂ္ဂိုလ်အား ဝိပဿနာ ဘာဝနာကမ္မဋ္ဌာန်းသည် မဂ်ပေါက် ဖိုလ်ဝင် နိဗ္ဗာန်မြင်သည့်တိုင်အောင် ကြီးပွားခြင်းသို့ စည်ပင်ခြင်းသို့ ပြန့်ပြောသောအဖြစ်သို့ ရောက်ရှိနိုင်၏။ (ဝိသုဒ္ဓိ၊၂၊၂၂၇။ စာပိုဒ်-၆၇၁။) ယထာ နာမ ဟေဋ္ဌိမဈ
စာမျက်နှာ -၁၃၄	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ/[129] အထူးသတိပြုသင့်သောအရာ.md	()	ဤအချက်ကား ဝိပဿနာဇောတို့က ပဋိသန္ဓေကျိုး ပဝတ္တိကျိုးကို ပေးနိုင်ပုံ သာဓကတစ်ရပ်လည်း ဖြစ်ပေသည်။ (စာမျက်နှာ -၁၃၄- စသည် ကိုလည်း ကြည့်
ဝီထိနှင့် သုံးချက်စု၊၃၄	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[152] ရူပါရုံ (= အရောင်) လိုင်း အကောင်းအု.md	[]	သို့သော် တောင်မြို့ မဟာဂန္ဓာရုံ ဆရာတော်ဘုရားကား ပဉ္စဒွါရနှင့် ဆက်သွယ်၍ ဖြစ်သမျှသော မနောဒွါရဝီထိများကို တဒနုဝတ္တိကဟုချည်း ဆိုလိုပေသည်။ (ဝီထိနှင့် သုံးချက်စု၊၃၄)] အသင်ယောဂီသူတော်က
စာမျက်နှာ -၁၄၁	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[220]မနောဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ/[238] ဒေါသ-ကုက္ကုစ္စ အုပ်စု (၄) ချက်.md	()	အထက်တွင် --- **ဇောနှင့် တဒါရုံ သတ်မှတ်ပုံ** --- အပိုင်းဝယ် (စာမျက်နှာ -၁၄၁- စသည်၌) **အာဂန္တုကဘ
ဤစကားရပ်တို့ကား ၁	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[246]ပဉ္စဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ/[258] ရဇ္ဇန - ဒုဿန - မုယှန သဘော.md	()	(ဤစကားရပ်တို့ကား ၁- ပဉ္စဒွါရဝီထိနှင့်
ပဉ္စဒွါရဝီထိနှင့် ၂	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[246]ပဉ္စဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ/[258] ရဇ္ဇန - ဒုဿန - မုယှန သဘော.md	()	(ဤစကားရပ်တို့ကား ၁- ပဉ္စဒွါရဝီထိနှင့် ၂- ဒုတိယ တဒနုဝတ္တက မန
ဒုတိယ တဒနုဝတ္တက မနောဒွါရဝီထိ ၃	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[246]ပဉ္စဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ/[258] ရဇ္ဇန - ဒုဿန - မုယှန သဘော.md	()	(ဤစကားရပ်တို့ကား ၁- ပဉ္စဒွါရဝီထိနှင့် ၂- ဒုတိယ တဒနုဝတ္တက မနောဒွါရဝီထိ ၃- တတိယ သုဒ္ဓမနောဒွါရ
စာပိုဒ်-၁၀၀၈	1	vol_2	vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ/[88]a မောဟအုပ်စု စေတသိက် (၁) လုံး.md	()	[**မှတ်ချက်** --- ကံ-ကံ၏ အကျိုးတရား၌ သံသယရှိခြင်းများလည်း ဤကြောင်း-ကျိုး ဆက်နွှယ်မှု ပဋိစ္စသမုပ္ပါဒ် သဘောတရား၌ သံသယရှိမှုတွင် အကျုံးဝင်လျက် ရှိပေသည်။] (အဘိ၊၁၊၂၀၈။ စာပိုဒ်-၁၀၀၈။) ဤကား အကုသိုလ်စေတသ
စာမျက်နှာ -၃၁	1	vol_2	vol_2/markdown/[279]နာမရူပဝဝတ္ထာန အခန်း/[284] မနောဓာတ်.md	()	အသီးအသီး ခေါ်ဆိုကြောင်း ရှင်းပြခဲ့၏။ (စာမျက်နှာ -၃၁- စသည်၌ ပြန်ကြည့်ပါ။
စေတသိက် - ၅၂	1	vol_2	vol_2/markdown/[279]နာမရူပဝဝတ္ထာန အခန်း/[291] အာယတန (၁၂) ပါးနည်းအားဖြင့် ရုပ်-နာမ်.md	()	မနာယတနနှင့် (စေတသိက် - ၅၂ - မျိုးဟူသော) ဓမ္မာ
ဟဒယဝတ္ထုကိုပါ ထည့်သော် - ၉	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[347]c ရူပကာယ (၄) မျိုး.md	()	- ၁။ **ဥပါဒိန္နကကာယ** --- ကံကြောင့် ဖြစ်သော ကမ္မသမုဋ္ဌာန် ဖြစ်သော စက္ခာယတန， သောတာယတန， ဃာနာယတန， ဇိဝှါယတန， ကာယာယတန， ဣတ္ထိဘာဝရုပ်， ပုရိသဘာဝရုပ်， ဇီဝိတိန္ဒြေဟူသော ဤ (၈)မျိုးသောကမ္မသမုဋ္ဌာန်ရုပ်တို့သည်လည်းကောင်း， (ဟဒယဝတ္ထုကိုပါ ထည့်သော် - ၉ - မျိုးဟု မှတ်ပါ။)
ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း စာမျက်နှာ -၂၆၀	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[389]b မူလပရိညာ.md	()	သို့သော် မနောဒွါရဝီထိ၌ကား “အမျိုးသမီးပဲ， အမျိုးသားပဲ”ဟု သိ၍ တပ်မက်ခြင်း ပြစ်မှားခြင်း တွေဝေခြင်းသည် ဖြစ်၏။ (ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း စာမျက်နှာ -၂၆၀- ၌ ဖော်ပြခဲ့သည့်အတိ
စာမျက်နှာ -၂၆၀	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[389]b မူလပရိညာ.md	()	စာမျက်နှာ -၂၆၀- ကို ပြန်ကြည့်ပါ။)
ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း - ၃၀၀	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[394] ခန္ဓာ (၅) ပါးနည်း၏ အစွမ်းဖြင့် အသမ္.md	()	(ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း - ၃၀၀ - စသည်၌ ဖော်ပြခဲ့ပြ
ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း - ၂၉၃	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[395]a အာယတနနည်း၏ အစွမ်းဖြင့် အသမ္မောဟသမ္ပဇ.md	()	ရူပါရုံကိုအာရုံယူကြသည့် စက္ခုဒွါရဝီထိ， မနောဒွါရဝီထိတို့၏ အတွင်း၌ တည်ရှိကြသော စိတ္တက္ခဏတိုင်း၌ အာယတန(၄)ပါးစီကို သိမ်းဆည်း ရှုပွားရမည်သာ ဖြစ်သည်။ (ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်း - ၂၉၃ - စသည်၌ ဖော်ပြခဲ့ပြ
ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်းစာမျက်နှာ - ၂၉၃-၂၉၄	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[395]b ဓာတ် (၁၈) ပါးနည်း၏ အစွမ်းဖြင့် အသမ္.md	()	(ဤနာမ်ကမ္မဋ္ဌာန်းပိုင်းစာမျက်နှာ - ၂၉၃-၂၉၄ - စသည်တို့၌ ပြန်ကြည
ယောဂါဝစရပုဂ္ဂိုလ်သည် ဤအပိုင်းတွင် --- - ၁	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[418]b ၄။ အသမ္မောဟသမ္ပဇဉ်.md	[]	ယောဂါဝစရပုဂ္ဂိုလ်သည် ဤအပိုင်းတွင် --- - ၁။ အန္တဟူသော အစာသစ်အိ
မျိုးတို့ကိုလည်းကောင်း， - ၂	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[418]b ၄။ အသမ္မောဟသမ္ပဇဉ်.md	[]	- ၁။ အန္တဟူသော အစာသစ်အိမ် အဝင်အပါ အူကောဋ္ဌာသ = အစာသွားလမ်းတစ်လျှောက်၌ တည်ရှိကြသော အန္တကောဋ္ဌာသ = ရုပ် (၄၄)မျိုးတို့ကိုလည်းကောင်း， - ၂။ အစာကို တည်အောင် အေ
မျိုးတို့ကိုလည်းကောင်း， - ၃	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[418]b ၄။ အသမ္မောဟသမ္ပဇဉ်.md	[]	- ၂။ အစာကို တည်အောင် အောက်သို့ ဆင်းအောင် ထောက်ကန် တွန်းကန်တတ်သည့် ဝါယောဓာတ်၏သဘာဝသတ္တိစွမ်းအင် လွန်ကဲနေသော ဥဒ္ဓင်္ဂမဝါတကောဋ္ဌာသရုပ် (၃၃)မျိုး， အဓောဂမဝါတကောဋ္ဌာသရုပ် (၃၃)မျိုးတို့ကိုလည်းကောင်း， - ၃။ အစာသစ်ကောဋ္ဌာသဟူသေ
အစာသစ်ကောဋ္ဌာသဟူသော ဥတုဇဩဇဋ္ဌမကရုပ်တို့ကိုလည်းကောင်း， - ၄	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[418]b ၄။ အသမ္မောဟသမ္ပဇဉ်.md	[]	- ၃။ အစာသစ်ကောဋ္ဌာသဟူသော ဥတုဇဩဇဋ္ဌမကရုပ်တို့ကိုလည်းကောင်း， - ၄။ အစာသစ်ကောဋ္ဌာသကို
ကမ္မဋ္ဌာန်း -၄၀	1	vol_2	vol_2/markdown/[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း/[428]a ၃။ ဂေါစရသမ္ပဇဉ်.md	()	မိမိ နှလုံးသွင်းနေကျ ကမ္မဋ္ဌာန်းကို (ကမ္မဋ္ဌာန်း -၄၀- တို့တွင် တစ်ခုခုကိ
ရေတွက်သော် ၂၄	1	vol_2	vol_2/markdown/[448]သတိပဋ္ဌာန်တရား (၄) ပါး အခန်း/[452] ဓာတ်ကမ္မဋ္ဌာန်းလမ်းစဉ်မှ အရဟတ္တဖိုလ်.md	()	ထိုသို့ ထင်ရှားလာရာ အခါ၌ ယောဂါဝစရပုဂ္ဂိုလ်သည် “မဟာဘုတ်ဓာတ်ကြီးလေးပါးတို့နှင့် (၂၃)မျိုးကုန်သော (ဟဒယဝတ္ထုကိုပါ ထည့်၍ ရေတွက်သော် ၂၄- မျိုးကုန်သော) ဥပါဒ
ဤကျမ်းစာ --- စာမျက်နှာ - ၅၇၇	1	vol_2	vol_2/markdown/[448]သတိပဋ္ဌာန်တရား (၄) ပါး အခန်း/[579] ဘာဝရုပ်.md	()	အထက်တွင် ဖော်ပြခဲ့သော မဟာဋီကာ (၁၊၄၃၅)၏ စကားတော်ကိုထောက်ရှုပါ။ (ဤကျမ်းစာ --- စာမျက်နှာ - ၅၇၇ - ပြန်ကြည့်ပါ။)
မှီရာဝတ္ထုရုပ် ၃၀	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[250] ပဋိသန္ဓေ ဝေဒနာက္ခန္ဓာ.md	()	- ၆။ ဝတ္ထု (= မှီရာဝတ္ထုရုပ် ၃၀) ဖြစ်ခြင်းကြောင့် ပ
ကမ္မဇရုပ်-၃၀	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[256] ပဋိသန္ဓေ သညာက္ခန္ဓာ.md	()	- ၆။ ဝတ္ထု (= ကမ္မဇရုပ်-၃၀) ဖြစ်ခြင်းကြောင့် ပ
ရှိသော ရုပ် - ၅၄	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[265] ရူပါရုံ အရောင်လိုင်း - ပဉ္စဒွါရာဝဇ္ဇ.md	()	- ၁။ ဝတ္ထု (= ဟဒယ၌ရှိသော ရုပ် - ၅၄ - မျိုး)က အကြောင်းတ
ဒုတိယနည်း စေတသိက် - ၃၁	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[265] ရူပါရုံ အရောင်လိုင်း - ပဉ္စဒွါရာဝဇ္ဇ.md	()	**(ဒုတိယနည်း စေတသိက် - ၃၁ - လုံးယူ)** **ပစ္စ
နာမ်တရား-၁၂	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ/[287] ရူပါရုံလိုင်း - မနောဒွါရဝီထိ - ကုသို.md	()	သို့အတွက် ယောနိသောမနသိကာရဟု ဆိုခြင်းနှင့် မနောဒွါရာဝဇ္ဇန်း မနောသမ္ဖဿ (= နာမ်တရား-၁၂)ဟု ဆိုခြင်းမှာ အမည်
ကား ဂရုကကံ အာသန္နကံ အာစိဏ္ဏကံ ကဋတ္တာကံဟု အာသန္နကံကို နံပါတ်-၂	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ/[79] ပါကဒါနပရိယာယ = အကျိုးပေးရာ အလှည့်အ.md	[]	[**မှတ်ချက်** ---- သင်္ဂြိုဟ်ကျမ်း၌ကား ဂရုကကံ အာသန္နကံ အာစိဏ္ဏကံ ကဋတ္တာကံဟု အာသန္နကံကို နံပါတ်-၂- အာစိဏ္ဏကံကို နံပါတ
အာစိဏ္ဏကံကို နံပါတ်-၃	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ/[79] ပါကဒါနပရိယာယ = အကျိုးပေးရာ အလှည့်အ.md	[]	[**မှတ်ချက်** ---- သင်္ဂြိုဟ်ကျမ်း၌ကား ဂရုကကံ အာသန္နကံ အာစိဏ္ဏကံ ကဋတ္တာကံဟု အာသန္နကံကို နံပါတ်-၂- အာစိဏ္ဏကံကို နံပါတ်-၃- အရာ၌ထားသည်။ ဝိသုဒ
ကား အာစိဏ္ဏကံကို နံပါတ်-၂	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ/[79] ပါကဒါနပရိယာယ = အကျိုးပေးရာ အလှည့်အ.md	[]	ဝိသုဒ္ဓိမဂ်၌ကား အာစိဏ္ဏကံကို နံပါတ်-၂- အာသန္န ကံကို နံပါတ
အာသန္န ကံကို နံပါတ်-၃	1	vol_3	vol_3/markdown/[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ/[79] ပါကဒါနပရိယာယ = အကျိုးပေးရာ အလှည့်အ.md	[]	ဝိသုဒ္ဓိမဂ်၌ကား အာစိဏ္ဏကံကို နံပါတ်-၂- အာသန္န ကံကို နံပါတ်-၃- အရာ၌ထားသည်။ အားလု
