-in	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Mahā	大
Mahāsatipaṭṭhāna Sutta	大念处经
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Paṭiccasamuppāda	缘起法
Paṭisambhidā magga	无碍解道
Sam	相应部
Sotāpanna	须陀洹
Sutta	经
Vinaya	律
Visuddhi Magga	《清净之道》
abhidhammabhājanīya	阿毗达摩分别
addhāpaccuppanna	一世现在
ahetuka	无因
ahetukadiṭṭhi	无因缘的见解
ahosikamma	曾有业
ajātasattu	未生怨
akaniṭṭha	色究竟
akiriya	未做
akiriyadiṭṭhi	无作用见
anatta	无我
anicca	无常
anuloma	随顺
anulomapaṭiccasamuppāda	顺序缘起
anuppādanirodha	不生灭尽
arahant	阿拉汉
asādhāraṇa	不共同
atta	我
attadiṭṭhi	我见
avijjāpaccayā saṅkhārā	无明缘行
ayonisomanasikāra	不如理作意
aṭisambhidā Magga	《无碍解道》
base	词典源型
bhikkhu	比库
bimbisāra	宾比萨勒
bodhisatta	菩萨
brahma	梵天神
cakkhu	眼
catumadhura	四甜品
citta	心
cittajaojā	心生食素
cittajarūpa	心生色
cittasamuṭṭhāna	心生
cittasamuṭṭhāna rūpa	心转起色
cuti	入灭
deva	神
devaputta	男天人
dhamma	法
dhammasabhāva	法的本质
dhammika	如法
diṭṭhadhamma	现在生
diṭṭhi	见
diṭṭhigata	主见的偏颇
duka	二分（法）
dukkha	苦
dvihetuka	二因的
ekanta	一向
ekatta	同一性
ekattanaya	同一性理
ekattā	同一性
ghaṭikāra	喀谛咖勒
hetu	因
hoti	发生
janaka	生
janakakamma	令生业
jātaka	本生
kalāpa	色聚
kamma	业
kammajaojā	业生食素
kammajarūpa	业生色
kammapaccaya	业缘
kammasamuṭṭhāna	业生
kasiṇa	遍
kaṭattā	业所造
khaṇa	剎那
khaṇapaccuppanna	刹那现在
kiriyā	唯作
kāla	咖拉
kāma	欲
kāya	身
lobhamūla	贪根
magga	道
mahaggata	广大
mahākusala	大善
mahāsatipaṭṭhāna	大念处经
mahāṭīkā	大复注
meditator	禅修者
moggallāna	摩嘎喇那
mūla	根本
naya	法
nibbāna	涅槃
nicca	常
nijjīva	非生命的
nipāta	不变化词
niyata	决定
niyatavāda	宿命论
nāma	名
nāmakāya	名身
nāmarūpa	名色
nānatta	不同性
nānattanaya	不同性理
nānākkhaṇika	异刹那
ojaṭṭhamaka	食素为第八的
ojā	食素
paccayo	缘
paccuppanna	现在
pana	此外
paṭicca	缘
paṭisambhidā	辨析
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
puggala	个体
pāli	巴利语
pīti	喜
rūpa	色
sabhāga	同分
sabhāva	本质
saccaka	萨迦格
sahampati	娑婆主
sakka	帝释
samatha	止
sampayutta	相应
samuppāda	集起
samāpatti	等至
samūhaghana	组合密集
santati	相续
santatighana	相续密集
santatipaccuppanna	相续现在
sassata	常见
sassatadiṭṭhi	常见
satipaṭṭhāna	念处
saṅkhārapaccayā viññāṇa	行缘识
saṅkhārā	行
somanassa	悦
soṇa	索那
sukha	乐
suttanta	经
suttantabhājanīya	经分别
sādhāraṇa	共通的
sāmañña	一般性
sāmaññaphala	沙门果
sāriputta	沙利子
tejo	火
tihetuka	三因者
ucchedadiṭṭhi	断灭见
udāna	《感慨》
upaṭṭhāna	建立
uppāda	生起
upādāna	取
utu	季节
utuja ojaṭṭhamaka	时节生食素为第八的
utujarūpa	时节生色
utusamuṭṭhānarūpa	时节所起色
vedanā	受
vipassanā	观
visuddhi	清净
viññāṇa	识
vāda	辩论
vāra	界限
vāyo	风
yamaka	双论
yonisomanasikāra	如理作意
ñāṇasampayutta	智相应
Ānanda	阿难德
āhāra	食
āhārajaoja	食生食素
āhārajarūpa	食生色
āvajjana	转向
ṭhiti	住
