-in	具有……者
Bhikkhus	诸比库
Buddha	佛陀
Mahā	大
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Pañcupādānakkhandhā	五执取蕴
Paṭiccasamuppāda	缘起法
Paṭisambhidā magga	无碍解道
Sam	相应部
Samyutta	相应部
Samādhi Sutta	《定经》
Sutta	经
Visuddhi Magga	《清净之道》
ahetuka	无因
ahosikamma	曾有业
anuloma	随顺
anulomapaṭiccasamuppāda	顺序缘起
anuṭīkā	再复注
aparāpariyavedanīya	顺后受
arahant	阿拉汉
asādhāraṇa	不共同
attabhāva	自体
avijjā	无明
avipāka	非果报
aṭisambhidā Magga	《无碍解道》
aṭṭhakathā	义注
base	词典源型
bhava	有
bhikkhave	诸比库
bhikkhu	比库
brahma	梵天神
cakkhu	眼
cakkhu dasaka kalāpa	眼十法聚
cittajarūpa	心生色
deva	神
dhamma	法
diṭṭha	见
diṭṭhi	见
ekadesa	一部分
etassa	这...
hadaya vatthu	心所依处色
janaka	生
janakakamma	令生业
javana	速行
kalāpa	色聚
kamma	业
kammajaojā	业生食素
kammajarūpa	业生色
kammapaccaya	业缘
kammavipāka	业的果报
kammaviññāṇa	业识
kaṭattā	业所造
kāmupādāna	欲取
loka	世间
lokasamudaya	世间集
macchariya	悭吝
magga	道
mahaggata	广大
mahāṭīkā	大复注
manodvārāvajjana	意门转向
manosañcetanāhāra	对食物的思欲
meditator	禅修者
nandī	喜
naya	法
nibbāna	涅槃
nidassananaya	显示法
nirodha	灭
nāmaghana	名密集
nāmarūpa	名色
nānākkhaṇika	异刹那
paccakkha	亲见
paccaya	缘
paccayuppanna	缘生
paccayākāra	缘行相
pariyāya	方便
pasāda	纯净
pañhāvāra	答分
paṭicca	缘
paṭisambhidā	辨析
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
phassāhāra	触食
pāli	巴利语
rasa	作用
rasataṇhā	喜爱味道
rūpa	色
sakkāya	有身（见）
sakkāya diṭṭhi	有身见
samatha	止
samudaya	集
samuppāda	集起
samādhi	定
sassata	常见
satipaṭṭhāna	念处
saṅkhāra	行
saṅkhārā	行
tadārammaṇa	彼所缘
taṇhā	渴爱
uccheda	断灭
upalakkhaṇanaya	近相法
upatthambhaka	支持
uppāda	生起
upādāna	取
utujarūpa	时节生色
vatthu	依处
vedanā	受
vipassanā	观
visuddhi	清净
vivaṭṭa	中条
viññāṇa	识
viññāṇāhāra	识食
ñāṇa	智
Āhāra Sutta	食经
āhāra	食
āsevana	重复
āyatana	入处
āyūhana	加行
ṭhiti	住
