-in	具有……者
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Gotama buddha	果达玛佛
Himavanta	喜马拉雅山
Jambuka	瞻部格
Kassapa	咖沙巴
Lakkhaṇa	特相
Mahāṭī	大义疏
Nissaya	依词释
Sam	相应部
Vinaya	律
Visuddhimagga	《清净道论》
akusala	不善
arahant	阿拉汉
arahanta	阿拉汉
arahat	阿拉汉
arahatta	阿拉汉
ariya	圣
bahiddha	外在
bhava	有
bhavo	有
brahma	梵天神
buddhantara	[两尊]佛陀[出现]的间隔
cetasika	心所
citta	心
deva	神
devadatta	天赐
dhamma	法
dhammapada	《法句》
domanassa	忧
dosa	瞋
duccarita	不善行
duggati	恶趣
gotama	果德玛
idha	于此
issa	嫉妒
kappa	劫
kilesa	烦恼
kiriya	唯作
kukkucca	追悔
kulamacchariya	家族悭
lobha	贪
lokadhamma	世法
macchariya	悭吝
magga	道
mana	意
meditator	禅修者
metta	友谊
moha	痴
mudu	柔软的
naya	法
nibbāna	涅槃
nidassana	比较
nimitta	相
niraya	地狱
paccaya	缘
paccekabuddha	独觉佛
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pana	此外
paramaṭṭha	究竟
pariyatti	教理
payoga	精勤 / 加行
phala	果
puggala	个体
purohita	国师
pāli	巴利语
rasa	作用
ratana	动张
sabhava	自性
saddha	信
sakka	帝释
samatha	止
sampatti	成就
samvega	悚惧
sekkha	有学
sikkha	学
soka	愁
sucarita	善行
tattheva	仅仅在那
tika	三分（法）
titthiya	外道
vatta	行仪
vatthu	依处
vipassana	观禅
viriya	精进
visuddhi	清净
yojana	由旬
yoniso-manasikara	wisely pay attention in mind
