-in	具有……者
Buddha	佛陀
Catukka	四法
Mahā	大
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Susima	苏西玛
Sutta	经
abhisaṅkhāra	积聚
akusala	不善
akusalavipāka	不善果报
arahatta	阿拉汉
arūpa	非色
atthi	有
avigata	不离去
base	词典源型
bhava	有
bhikkhu	比库
bodhisatta	菩萨
brahma	梵天神
catuvokāra	四蕴
cetanā	思
citta	心
cittajarūpa	心生色
cuti	入灭
dhamma	法
dhammā	诸法
dukkha	苦
ekadesa	一部分
gatinimitta	趣相
ghana	密集
hoti	发生
indriya	根
iriyāpatha	威仪
jāti	生
jīvitanavaka	命为第九的
kalāpa	色聚
kamma	业
kammabhava	业有
kammajarūpa	业生色
kammapaccaya	业缘
kammaviññāṇa	业识
kusala	善
mahāvipāka	大果报
meditator	禅修者
mettā	慈爱
naya	法
nibbāna	涅槃
nimitta	相
nirodha	灭
nāma	名
nāmakammaṭṭhāna	名业处
nāmarūpa	名色
nānakkhaṇika	不同的刹那
paccaya	缘
paccaya pariggaha	缘摄受
paccaya pariggaha ñāṇa	缘摄受智
pacchājāta	后生
pakatūpanissaya	本性亲依止
pariggaha	摄受
pavatti	生命期间
pañcakanaya	五法
pañcavokārabhave	五蕴有
paṭisandhi	结生
paṭṭhāna	众缘
phalasamāpatti	果定
puññābhisaṅkhāra	福行
pāli	巴利语
ratana	动张
rājagaha	王舍城
rūpa	色
sahajāta	俱生
sampayutta	相应
samāpatti	等至
saṅkhāra	行
somanassa	悦
suttanta	经
tihetuka	三因者
upanissaya	强依止
upanissayo	亲依止
utujarūpa	时节生色
vatthu	依处
vesāli	韦萨离城
vipassanā	观
vipāka	果报
viññāṇa	识
vīthimutta	离路心
ñāṇa	智
āhāra	食
āhārajarūpa	食生色
ārammaṇūpanissaya	所缘强依止
ṭhiti	住
