-in	具有……者
Abhaya	无畏
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Cittānupassanā	心随观
Dhammānupassanā	法随观
Lakkhaṇa	特相
Mahātīkā	大义疏
Mahāṭī	大义疏
Mahāṭīka	《大疏钞》
Pañcupādānakkhandhā	五执取蕴
Paṭiccasamuppāda	缘起法
Paṭisambhidā magga	无碍解道
Sam	相应部
Sutta	经
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
abhisaṅkhāra	积聚
accantanirodha	究竟灭尽
accantavirāga	究竟离贪
adhipaññā	增上慧
akusala	不善
anatta	无我
anatta lakkhaṇa	无我相
anattānupassanā	无我随观
anattānupassanā ñāṇa	无我随观智
anicca	无常
aniccatā	无常性
aniccānupassanā	随观无常
aniccānupassanā ñāṇa	无常随观智
aniccānupassī	无常随观者
animitta	无相
aniyyānika	非出离
anotatta	阴凉
anupassanā	随观
anupassanā ñāṇa	随观智
anuppāda	无生
arahant	阿拉汉
arūpa	非色
asammoha	无痴
asaṅkhata	无为
assasissāmīti sikkhati	他学‘我将入息’
assāsa	入息
assāsa passāsa	入息与出息
asubha	不净
atta	我
atthi	有
atīte	过去
aññathatta	住
aññathattā	住
aṭisambhidā Magga	《无碍解道》
base	词典源型
bhava	有
bhaya	畏惧
bhaya ñāṇa	怖畏智
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhāva	有
bhūmi	地
brahma	梵天神
catuttha catukka	第四组四法
cetasika	心所
cetasika sukha	心乐
citta	心
citta saṅkhāra	心行
cittasaṅkhāra	心行
cittekaggatā	心一境性
cittā	姬达
dhamma	法
dhātu	界
diṭṭha	见
diṭṭhi	见
dukkha	苦
dukkhānupassanā	苦随观
dukkhānupassanā ñāṇa	苦随观智
dutiya	第二个
dutiya catukka	第二组四法
ekatta	同一性
evameva	这样
gandhabba	甘塔巴
gati	趣
ghana	密集
hadaya vatthu	心所依处色
hetu	因
iriyāpatha	威仪
janaka	生
jarā	老
jhāna	禅那
jāti	生
kamma	业
kamma nimitta	业相
kammaṭṭhāna	业处
karajakāya	不净所生身
khandha	蕴
khandhā	蕴
khaya	尽
khayavaya	衰灭、坏灭
khaṇa	剎那
khaṇabhaṅga	刹那坏灭
kicca	作用
kilesa	烦恼
kusala	善
kusalatā	善巧
kāma	欲
kāmasugati	欲善趣
kāraka	施动者
kāya	身
kāyasaṅkhāra	身行
kāyaviññāṇa	身识
kāyika sukha	身乐
kāyānupassanā	身随观
lakkhaṇā	相
lakkhaṇādicatukka	特相
loke	世间
līnapakkha	退缩组
magga	道
maraṇa	死
meditator	禅修者
moha	痴
muni	牟尼
muñcitukamyatā	欲解脱
nandī	喜
naya	法
nibbatti	转生
nibbidā	倦离
nibbidānupassanā	厌离随观
nibbāna	涅槃
nicca	常
nimitta	相
nirodha	灭
nirodhānupassanā	灭尽随观
nirodhānupassī	灭尽随观者
nāma	名
nāma kammaṭṭhāna	名业处
nāmaghana	名密集
nāmakāya	名身
nīvarana	盖
paccakkha	亲见
paccaya	缘
paccupaṭṭhāna	现起
paccuppanna	现在
padaṭṭhāna	足处
pahāna	舍断
pajānāti	了知
pakiṇṇaka	杂
parideva	悲
parikamma	遍作
pariyāya	方便
passāsa	入息
pavatta	生命期间
pavatti	生命期间
pañña	慧
paññatti	概念
paññā	慧
paṭibhāga	相似
paṭibhāga nimitta	似相
paṭicca	缘
paṭigha	厌恶
paṭinissaggānupassanā	定弃观
paṭipadā	行道
paṭisambhida	无碍解
paṭisambhidā	辨析
paṭisandhi	结生
paṭisaṅkhā	审查
paṭivedha	通达
phassa	触
pādaka	基础
pāgabhāva	未存在
pāli	巴利语
pīti	喜
rasa	作用
rāga	贪 / 爱染
rūpa	色
rūpaghana	色密集
rūpakāya	色身
sacca	谛
sakkāyadiṭṭhi	有身见
samatha	止
samathayānika	以止为乘者
sampajañña	正知
samuccheda	正断
samudaya	集
samvega	悚惧
samyojana	结缚
samādhi	定
sandiṭṭhika	自见的
santati	相续
sappītika	欢喜
sassata	常见
satipaṭṭhāna	念处
sattāvāsa	有情居
saññā	想
saṅkhata	有为
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra dhammas	行法
saṅkhāra nimitta	行相
saṅkhārā	行
sikkhati	他学
soka	愁
suddha vipassanā	纯观
sukha	乐
sukha vedanā	乐受
suññata	空
suññatā	空性
suññatānupassanā	空频观
sāmī	主人
sāsanā	教法
tadaṅga	暂时
tatiya catukka	第三组四法
tikanipāta	三集
titthiya	外道
uggahanimitta	取相
upanissaya	强依止
upatthambhaka	支持
upaṭṭhāna	建立
uppāda	生起
upādānakkhandhā	取蕴
upāyāsa	恼
vatta	行仪
vatthu	依处
vaya	灭
vaṭṭa	轮回
vedaka	受者
vedanā	受
verb	动词
vicāra	伺
vijjā	[三]明
vikkhambhana	抽离
vimutti	解脱
vipassana	观禅
vipassanā	观
vipassanā bhūmi	观地
vipassanā ñāṇa	观智
vipāka	果报
virāga	离染
visaṅkhāra	离行
visuddhi	清净
vitakka	寻
vivaṭṭanā	还灭
vohāra sacca	世俗谛
vāra	界限
yoni	生
ñāta	所知
ñāṇa	智
ādīnava	过患
ādīnava ñāṇa	过患智
ādīnavānupassanā	过患频观
ākāra	行相
ānāpāna	入出息
ānāpānassati	入出息念
ānāpānassati sutta	入出息念经
ārammaṇa	所缘
āyūhana	加行
ṭhiti	住
