Abhidhamma	阿毗达摩
Anguttara	增支部
Attā	我
Buddha	佛陀
Mahā	大
Sam	相应部
Sutta	经
adhimokkha	胜解
ahirika	无惭
alobha	无贪
anantara	无间
anatta	无我
anicca	无常
anoma	至高
anottappa	无愧
anubyañjana	次相
anusaya	潜伏
appanā	安止
arahat	阿拉汉
asubha	不净
avijjā	无明
avūpasama	不寂静
base	词典源型
bodhi	菩提
brahma	梵天神
byādhi	疾病
catusacca	四个真理
chanda	欲
citta	心
devadatta	天赐
dhamma	法
dhammapada	《法句》
dosa	瞋
duggati	恶趣
dukkha	苦
ekaggatā	一境性
gotama	果德玛
haritaca	金肤
indriya	根
issā	嫉妒
jarā	老
javana	速行
jetavana	祇陀林 / 揭德林
jhāna	禅那
jātaka	本生
jāti	生
kamma	业
kapila	咖毕拉
kokālika	果咖离格
kosajja	懈怠
kukkucca	追悔
kāra	字
kāya	身
lobha	贪
mada	慢
magga	道
mahāpaduma	大红莲
mahātissa	马哈帝思
meditator	禅修者
middha	睡眠
milinda	弥林德
moggallāna	摩嘎喇那
moha	痴
māna	慢
mātikā	大纲
nanda	难德
nandā	难达
nibbāna	涅槃
nicca	常
nikāya	部
nimitta	相
paccaya	缘
paduma	红莲
pakati	原初
pamāda	放逸
parakkama	勇猛
pariyāya	方便
passaddhi	轻安 / 平静
paññā	慧
pema	情感
phala	果
phassa	触
puggala	个体
pīti	喜
rasa	作用
rāga	贪 / 爱染
rājagaha	王舍城
sacca	谛
saddha	信
saddhā	信
sammā	正
samudaya	集
samuppāda	集起
samvega	悚惧
samyojana	结缚
samādhi	定
sañjaya	山吒亚
sañña	想
sikkhāpada	训练要素
sugata	善至
sukha	乐
susumāra	鳄鱼
suttanipāta	《经集》
sāriputta	沙利子
sāsana	教育
sāvatthi	沙瓦提
thina	心力不足
tissa	帝思
uddhacca	掉举
upadhi	再生的基质
upananda	伍巴难达
vatthu	依处
vedanā	受
vicikiccha	疑
vicāra	伺
viriyindriya	精进根
visuddhi	清净
vitakka	寻
viveka	远离
vīriya	精进
vīriyārambha	勤奋
yoga	轭
Ānanda	阿难德
āna	入息
