-in	具有……者
Abhidhamma	阿毗达摩
Anguttara	增支部
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Lakkhaṇa	特相
Mahāṭī	大义疏
Paramatta	帕拉马达
Sam	相应部
Samyutta	相应部
Sutta	经
Vinaya	律
Visaya	（所缘）境
adhimokkha	胜解
adhipati	主导
adosa	无嗔
ajjhatta	内在
akusala	不善
akusala citta	不善心
alobha	无贪
anatta	无我
anicca	无常
anuloma	随顺
anumodana	随喜
anuruddha	阿努儒达
arahat	阿拉汉
ariya	圣
ariya magga	圣道
assaddhiya	无信
asubha	不净
atta	我
bahiddha	外在
bala	力
bhava	有
bhaya	畏惧
bhikkhu	比库
bodhipakkhiya	菩提分
brahma	梵天神
cakkavatti	转轮王
cakkhu	眼
cetasika	心所
chanda	欲
channa	阐那
citta	心
citta niyama	心的定律
cittassa	心
deva	神
dhamma	法
dhammapada	《法句》
dibbacakkhu	天眼
domanassa	忧
dosa	瞋
duggati	恶趣
dukkha	苦
dukkha sacca	苦圣谛
dvanda	并列式复合词
hiri	自重
hoti	发生
idappaccayata	此缘性
indriya	根
issariya	掌权者
janaka	生
javana	速行
kamma	业
kattu	施动者
khandha	蕴
khanti	忍耐
kho	的确
kicca	作用
kilesa	烦恼
kukkucca	追悔
kusala	善
lobha	贪
loka	世间
lokiya	世间的
lokuttara	出世间
lokuttara dhamma	圣法
magga	道
magga sacca	道谛
mana	意
meditator	禅修者
metta	友谊
middha	睡眠
milinda	弥林德
mitta	弥达
moha	痴
nibbāna	涅槃
nicca	常
nimitta	相
ottappa	愧
paccakkha	亲见
paccaya	缘
paccaya pariggaha	缘摄受
paccaya satti	缘力
paccayapariggaha	缘摄受
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pajahati	舍弃
pana	此外
paraloka	来世
paramattha	神我
paramattha sacca	究竟谛
paramaṭṭha	究竟
pariccheda	节
pariggaha	摄受
pariyatti	教理
patibhaga nimitta	似相
patthana	欲
pema	情感
phala	果
phassa	触
piti	喜
puggala	个体
pāli	巴利语
rasa	作用
sabba	所有
sabhava	自性
sacca	谛
saddha	信
saddhamma	正法
saddhammassavana	听闻正法
saddheyya vatthu	当信之事
saddhindriya	信根
samatha	止
samaye	适时
sambuddha	正觉者
sampatti	成就
sampayutta	相应
samuccheda	正断
samudaya	集
samudaya sacca	苦因圣谛
samyojana	结缚
sappurisa	妙士
sati	念
satindriya	念根
satta	有情
sikkha	学
sobhana	美心
sucarita	善行
sukha	乐
suta	闻
sutamaya	闻所成
suttanta	经
takka	乳清
thina	心力不足
tika	三分（法）
titthiya	外道
tusita	喜足天
uccheda	断灭
uddhacca	掉举
upanissaya	强依止
upatthambhaka	支持
uposatha	伍波思特
vakkali	瓦格离
vatta	行仪
vatthu	依处
vicikiccha	疑
vimutti	解脱
vipassana	观禅
viriya	精进
visuddhi	清净
vitakka	寻
viveka	远离
yakkha	被祭的神灵
yoniso manasikara	wisely pay attention in mind
