Abhaya	无畏
sammādiṭṭhi	正见
sammāsati	正念
sammāvācā	正语
sampajañña	正知
samudaya	集
samudaya ariya sacca	集圣谛
samuddakkhāyikakathā	大海起源论
samvega	悚惧
samādhi	定
samādhikammika	止行者
samādhikathā	定论
samādhindare	定力
samādhisambojjhaṅga	定觉支
santuṭṭhikathā	知足论
sappāya	适
sappāya sampajañña	适宜正知
sappāyasampajañña	适宜正知
sati	念
satipaṭṭhāna	念处
satisambojjhaṅga	念觉支
satta	有情
sayanakathā	卧具论
saññā	想
saṅkappa	思念
saṅkhāra	行
saṅkhāradhamma	行法
sekkha	有学
senākathā	军队论
soka	愁
soṇa	索那
sukhavipāka	(带来)乐果报
suttanta	经
sāmañña	一般性
sāmañña lakkhaṇā	共相
sāriputta	沙利子
sāsanā	教法
sātthaka	有益
sātthakasampajañña	有益正知
sāvajja	有过的
sīla	戒
sīlakathā	戒论
sīlānussati	戒随念
sītavana	寒林
sūrakathā	英雄论
tadadhimuttatā	彼胜解
thina	心力不足
tiracchānakathā	畜生论
tissadatta	帝思答塔
titthiya	外道
udayabbayañāṇa	生灭智
uddhacca	掉举
uddhaccapakkha	掉举组
uggaha	学取
uggahanimitta	取相
upadhi	再生的基质
upadhiviveka	依著远离
upalakkhaṇa	区别
upaṭṭhāna	建立
upaṭṭhāna kicca	安住作用
upekkhā	舍
upekkhāsambhojjaṅga	舍觉支
uppajjanti	生起
uppādaka manasikāra	令生起而作意
upāyāsa	恼
utu	季节
vakkali	瓦格离
vatta	行仪
vatthakathā	衣物论
vatthu	依处
vatthuvisadakiriya	令事物清净
vatthuvisadakiriyā	作物净
vedanā	受
vijjā	[三]明
vikkhepa	散乱
vimutti	解脱
vimuttikathā	解脱论
vimuttiñāṇadassanakathā	解脱智见论
vipassanā	观
vipassanādura	内观的义务
vipassanākammika	观行者
vipassanāñāṇa	观智
viriya	精进
viriyasambojjhaṅga	精进觉支
visikhākathā	街道论
visuddhi	清净
viveka	远离
vāyāma	努力
vīriya	精进
vīriyasambojjhaṅga	精进觉支
yassa	名誉
yonisomanasikāra	如理作意
yuddhakathā	战争论
yuganaddha	轭结缚
yānakathā	车乘论
ñeyyadhamma	应知法
ñātikathā	亲戚论
ñāṇa	智
Āhāra Sutta	食经
āhāra	食
ājīvapārisuddhisīla	活命清净戒
ākāsakasiṇa	虚空遍
ākāsānañcāyatanajhāna	空无边处禅
āloka	光
ālokakasiṇa	光明遍
ānandā	阿难
ānāpāna	入出息
ānāpāna nimitta	入出息禅相
ānāpānassati	入出息念
ārambhadhātu	发勤界
ārammaṇa	所缘
ārammaṇa paṭiveda	所缘通达
āsava	漏
āvāsa	住所
āvāso	住处
āyatana	入处
āyusaṅkhāra	寿行
Ṭīkā	复注
