-in	具有……者
Bhikkhus	诸比库
Buddha	佛陀
Catukka	四法
Lakkhaṇa	特相
Mahāṭī	大义疏
Sam	相应部
Sutta	经
anantara	无间
anicca	无常
aniccatā	无常性
anuloma	随顺
anuppāda	无生
anuṭīkā	再复注
arahant	阿拉汉
atta	我
attha	目的状语
avijjā	无明
base	词典源型
bheda	崩坏
bhikkhave	诸比库
bhikkhu	比库
brahma	梵天神
brahmacariya	梵行
cakkhusamphassa	眼触
cetasika	心所
desanā	开示
deva	神
dhamma	法
dhammapaṭisambhida	法无碍解
dhanañjānī	塔娜迦尼
diṭṭhikantāra	主见的险恶
dukkha	苦
ekanirodha	一起灭去
ekattanaya	同一性理
ekuppāda	同生
gambhīra	深邃
gatinimitta	趣相
ghanasaññā	密集想
gotama	果德玛
hetu	因
hoti	发生
jarā	老
jarāmaraṇa	老死
jāti	生
jīva	命
kamma	业
kammabhava	业有
khantī	忍耐
khemā	柯玛
kicca	作用
kiriyā	唯作
koṇāgamana	果那嘎玛那
kusalākusala	善不善
magga	道
manāyatana	意处
meditator	禅修者
micchāpaṭipatti	邪行道
māyā	诳
namana lakkhaṇa	朝向相
naya	法
nibbāna	涅槃
nijjīva	非生命的
nimitta	相
nirodha	灭
nāmarūpa	名色
nānattanaya	不同性理
pabhavo	来源
paccaya	缘
paccaya satti	缘力
paccayo	缘
paccupaṭṭhāna	现起
pakatūpanissaya	本性亲依止
paṭisambhida	无碍解
paṭisandhi	结生
phala	果
phassa	触
phusana	碰触
phusana lakkhaṇa	触相
pāli	巴利语
rasa	作用
sabbaññutañāṇa	一切知智
sabhāva	本质
sacca	谛
sakka	帝释
salakkhaṇa	自己的特性
samudaya	集
santati	相续
sarasa	本质
saṅkhāra	行
sāsana	教育
taṇhā	渴爱
therī	长老尼
upaṭṭhānākāra	现起的行相
uppāda	生起
upādāna	取
upādānakkhandhā	取蕴
vaṭṭa	轮回
vedanā	受
vipassanā	观
vipāka	果报
vipākabhava	果报有
vitakka	寻
viññāṇa	识
āneñjābhisaṅkhāra	不动行
ārammaṇa	所缘
āsevana	重复
āyatana	入处
ṭhiti	住
