-ka	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Chachakka Sutta	《六六经》
Lakkhaṇa	特相
Mahā	大
Mahāgandhārammaṇa	大键陀罗摩耶
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Paṭiccasamuppāda	缘起法
Rūpakammaṭṭhāna	色业处
Sutta	经
Tathāgata	如来
Visuddhi Magga	《清净之道》
ambaṭṭha	盎拔闼
anatta	无我
anicca	无常
anubodha	随觉
anuṭīkā	再复注
anārammaṇa	无所缘
arahant	阿拉汉
asubha	不净
attha	目的状语
avigatapaccaya	不离去缘
avīci	无间地狱
aṭṭhasālinī	胜义分明
bahussuta	多闻者
base	词典源型
bhikkhu	比库
bhāsāṭīkā	缅疏
bodhi ñāṇa	菩提智
bodhipakkhiya	菩提分
brahma	梵天神
cakkhu	眼
cakkhuviññāṇa	眼识
cakkhuviññāṇadhātuyā	眼识界
caraṇa	行
cetanā	思
cetasika	心所
cetopariya	他心辨知
citta	心
cittajarūpa	心生色
cuti	入灭
dhamma	法
dibbacakkhu	天眼
dibbasota	天耳通
diṭṭhi	见
dukkha	苦
dukkhasacca	苦谛
ekaggatā	一境性
ekattanaya	同一性理
ghana	密集
hirī	惭
hoti	发生
iddhividha	种种神变
javana	速行
jīvita	命
kamma	业
kammassakatā	业自性
kappita	准备
karajakāya	不净所生身
kasiṇa	遍
kathā	论
kiriyā	唯作
kosalla	善巧
kāraṇa	原因
kāya	身
magga	道
mahāṭīkā	大复注
majja	迷醉品
mana	意
manasikāra	作意
manodvārāvajjana	意门转向
manokamma	意业
meditator	禅修者
micchājīva	邪命
naya	法
nibbāna	涅槃
nidassana	比较
niddesa	广释
nirodhasamāpatti	寂灭之境界
nissayapaccaya	依止缘
nāma	名
nāmakāya	名身
ottappa	愧
paccaya	缘
paccekabodhi	独觉
pakati	原初
pana	此外
parittārammaṇa	小所缘
pariyāya	方便
pasāda	纯净
pathavīdhātu	地界
pañcadvārāvajjana	五门转向
paññatti	概念
paññā	慧
paṭicca	缘
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
phassapañcamaka	触为第五的
purejāta	前生
pāli	巴利语
pīti	喜
rūpa	色
rūpakāya	色身
rūpāyatana	色处
sabhāva	本质
sacca	谛
saddhamma	正法
saddhammassavana	听闻正法
saddhā	信
samannāhāra	专念
samatha	止
sammohavinodanī	迷惑冰消
sammā	正
sammākammanta	正业
sammāsambodhi	正自觉
sammāsambodhi ñāṇa	正自菩提智
sammāvācā	正语
sampattavirati	习惯离
sampaṭicchana	领受
samuccheda	正断
samudayasacca	集谛
santīraṇa	推度
sati	念
satta	有情
sattha	世尊
saññā	想
suttanta	经
sāmaññaphala	沙门果
sārammaṇa	有所缘
sāvakabodhi	弟子菩提
sāvakabodhi ñāṇa	弟子菩提智
tadārammaṇa	彼所缘
upalakkhaṇa	区别
upalakkhaṇanaya	近相法
uppāda	生起
vatthu	依处
vatthurūpa	依处色
vedanā	受
vijjā	[三]明
vipassanā	观
vipassanā ñāṇa	观智
virati	远离
visuddhi	清净
vāra	界限
vīriya	精进
vīthi	心路
ñāta	所知
ñāṇa	智
ābhoga	意欲
ārammaṇa	所缘
āsava	漏
āsavakkhaya	漏尽
āvajjana	转向
āyatana	入处
Ṭīkā	复注
ṭhiti	住
