-in	具有……者
Abhidhamma	阿毗达摩
Adhicitta Sutta	增上心经
Anguttara	增支部
Bhikkhus	诸比库
Buddha	佛陀
Hadayavatthu	心生起的物质基础
Mahā	大
Mahāsatipatthāna Sutta	《大念处经》
Mahāsatipaṭṭhāna Sutta	大念处经
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Sam	相应部
Susima	苏西玛
Sutta	经
Visuddhimagga	《清净道论》
abhibhāyatana	胜处
abhiññāṇa	特征
adhicitta	增上心
anatta	无我
anicca	无常
arahant	阿拉汉
arahatta	阿拉汉
atta	我
aṅga	支
aṭṭhakathā	义注
base	词典源型
bhavaṅga	有分
bhaṅga	天然混紡
bhikkhu	比库
bhāvarūpa	性根色
cakkhu	眼
cakkhudvāra	眼门
cakkhupasāda	眼净色
citta	心
cittajaojā	心生食素
cittakkhaṇa	心识刹那
cittassa	心
deva	神
dhamma	法
dhammavicayasambojjhaṅga	择法觉支
dhammā	诸法
dhātuvibhaṅga	界分别
diṭṭhi	见
diṭṭhivisuddhi	见清净
dosa	瞋
dukkha	苦
dvāra	门
ekaggatā	一境性
ghānapasāda	鼻净色
ghānaviññāṇa	鼻识
hadaya vatthu	心所依处色
jhāna	禅那
kalāpa	色聚
kamma	业
kammajaojā	业生食素
kammajarūpa	业生色
kammaṭṭhāna	业处
kasiṇa	遍
koṭṭhāsa	身分
kukkucca	追悔
kāya	身
kāyadvāra	身门
kāyapasāda	身净色
lobha	贪
magga	道
magga ñāṇa	道智
mahābhūta	大种
mahāparinibbāna	大般涅槃
mahāsatipaṭṭhāna	大念处经
manodhātu	意界
manodvāra	意门
manoviññāṇadhātu	意识界
meditator	禅修者
middha	睡眠
moha	痴
netti	导论
nibbāna	涅槃
nikāya	部
nipāta	不变化词
nāmarūpapariccheda	名色限定
nīvaraṇa	盖
ojā	食素
paccayapariggaha	缘摄受
pana	此外
passaddhisambojjhaṅga	轻安觉支
pasāda	纯净
paññatti	概念
phala	果
phala ñāṇa	果智
purisa	男子
pāli	巴利语
pīta	金色
pīti	喜
pītisambojjhaṅga	喜觉支
rasa	作用
rāhula	拉胡勒
rūpa	色
rūpapariggaha	色摄受
sacca	谛
saddhindare	信力
sadisupacāra	等近行
sadisūpacāra	等同近行
samatha	止
samathayānika	以止为乘者
sammohavinodanī	迷惑冰消
samvega	悚惧
samādhi	定
samādhisambojjhaṅga	定觉支
samāpatti	等至
sasambhāra	含有成分
satisambojjhaṅga	念觉支
sattasaññā	有情想
saṅkhāra	行
sotapasāda	耳净色
suddhavipassanā	干观
sukha	乐
uddhacca	掉举
upacāra	近行
upacāra samādhi	近行定
upakkilesa	随烦恼
upasamasukha	寂乐
upekkhāsambojjhaṅga	舍觉支
uppāda	生起
upāda	所造
vatthu	依处
vaṇṇa	色
vicāra	伺
vipassanā	观
visuddhi	清净
vitakka	寻
viññāṇa	识
vokāra	生命成分
vīriyasambojjhaṅga	精进觉支
vīthi	心路
ñāṇa	智
ākāsa	空间
