-ka	具有……者
Atthasālinī	胜义说
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Mahā	大
Nissaya	依词释
Paramatta	帕拉马达
Pathavī	巴踏威
Patisam	无碍解道
Sam	相应部
Sutta	经
Visuddhi Magga	《清净之道》
Visuddhimagga	《清净道论》
addhāpaccuppanna	一世现在
akusala	不善
akusalakamma	不善业
anicca	无常
anubodha	随觉
anupassanā	随观
anuppāda	无生
anuppādanirodha	不生灭尽
arahat	阿拉汉
arahatta	阿拉汉
arahattamagga	阿拉汉道
ariya	圣
ariya magga	圣道
ariyamagga	圣道
arūpa	非色
assa	他的
attha	目的状语
atīte	过去
avijjā	无明
bahiddhā	外
base	词典源型
bhava	有
bhavo	有
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
bhāvanāya	依修习
bhūtarūpa	种色
brahma	梵天神
brahmā	梵天
cakkhu	眼
cetana	思考
cetanā	思
cetasika	心所
citta	心
cittassa	心
dassana	洞见
desanā	开示
dhamma	法
dhammapada	《法句》
dhammā	诸法
dhātu	界
domanassa	忧
dukkha	苦
dukkhavedanā	苦受
ekadesa	一部分
ekaggatā	一境性
ekatta	同一性
hoti	发生
idha	于此
iti	如此
itivuttaka	如是说
jarā	老
jhāna	禅那
jāti	生
jīvita	命
kamma	业
kammabhava	业有
kammajarūpa	业生色
khandha	蕴
khaya	尽
kho	的确
kiccaghana	作用密集
kusala	善
kusalakamma	善业
kāmāvacara	欲界
kāya	身
magga	道
manasikāra	作意
meditator	禅修者
mettā	慈爱
nibbatti	转生
nibbāna	涅槃
nikanti	微细的欲求
nirodha	灭
nāma	名
nāmarūpa	名色
nāmarūpapariccheda	名色限定
okkanti	下生
paccakkha	亲见
paccaya	缘
paccaya pariggaha	缘摄受
paccayapariggaha	缘摄受
paccayo	缘
pacchimabhavika	最后一生者
paccupanna	现在
paccuppanna	现在
pana	此外
paramattha	神我
pariggaha	摄受
pariññā	遍知
pasāda	纯净
pavatta	生命期间
paññatta	制定
paññatti	概念
paññā	慧
phala	果
phassa	触
pāli	巴利语
rasa	作用
rāga	贪 / 爱染
rūpa	色
rūpakalāpa	色聚
rūpasaññā	色想
rūpā	色
sacca	谛
saccā	谛
saddhā	信
sammohavinodanī	迷惑冰消
sammā	正
samudaya	集
samudayadhammānupassī	随观生起之法
samudayasaccā	集谛
samuppāda	集起
samūhaghana	组合密集
santati	相续
santatighana	相续密集
santika	近
santāna	相续流
sappaccaya	有缘
sati	念
saññā	想
sena	赛那
somanassa	悦
sukha	乐
sukhavedanā	乐受
sukhuma	细
sāvaka	弟子
sīla	戒
sīlakkhandha	戒蕴
tejo	火
udayabbaya	生灭
udayabbayānupassanā	生灭随观
upapattibhava	生有
upāda	所造
upādāna	取
upādānakkhandhā	取蕴
upādārūpa	所造色
utu	季节
vatta	行仪
vatthu	依处
vaya	灭
vedanā	受
vijjā	[三]明
vimuttikkhandha	解脱蕴
vipassana	观禅
vipassanā	观
vipāka	果报
visuddhi	清净
vāyo	风
yogāvacara	修行者
ñāta	所知
ñātapariññā	智遍知
ādinā	最初
āhāra	食
ākāra	行相
āna	入息
āpo	水
āsava	漏
āyatana	入处
