-in	具有……者
Abhidhamma	阿毗达摩
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Himavanta	喜马拉雅山
Lakkhaṇa	特相
Mahāṭī	大义疏
Sutta	经
Vinaya	律
abhinivesa	黏着
adhimokkha	胜解
adhipati	主导
adosa	无嗔
ajjava	质直
ajjhatta	内在
akiriya	未做
akusala	不善
akusala dhamma	不善法
alobha	无贪
amoha	无痴
anabhijjha	无贪欲
anatta	无我
anicca	无常
anuloma	随顺
anusaya	潜伏
appana	安止
arahat	阿拉汉
arahatta	阿拉汉
arahatta magga	阿拉汉道
ariya	圣
ariya magga	圣道
asammoha	无痴
assaddhiya	无信
asubha	不净
atta	我
attakilamatha	自我折磨
bahiddha	外在
base	词典源型
bhava	有
bhavo	有
bheda	崩坏
brahma	梵天神
brahmacariya	梵行
brahmadatta	天授
cakkhu	眼
cetana	思考
cetasika	心所
chanda	欲
citta	心
cittujukata	心正直性
daratha	苦恼
dassana	洞见
devadatta	天赐
dhamma	法
domanassa	忧
dosa	瞋
duccarita	不善行
dukkha	苦
dukkha ariya sacca	苦圣谛
dukkha sacca	苦圣谛
dutiya	第二个
gantha	系
ghana	密集
hadaya vatthu	心所依处色
hetu	因
hiri	自重
indriya	根
issa	嫉妒
javana	速行
kamma	业
khandha	蕴
khayavaya	衰灭、坏灭
kicca	作用
kilesa	烦恼
kiriya	唯作
kosajja	懈怠
kukkucca	追悔
kusala	善
lobha	贪
loka	世间
lokiya	世间的
lokuttara	出世间
macchariya	悭吝
macchera	悭吝
magga	道
magga ariya sacca	道圣谛
magga sacca	道谛
majjhatta	中庸
majjhima	中
mana	意
meditator	禅修者
metta	友谊
middha	睡眠
milinda	弥林德
mitta	弥达
moha	痴
mutta	解脱
nibbāna	涅槃
nimitta	相
niraya	地狱
nirodha	灭
nirodha ariya sacca	灭圣谛
ottappa	愧
paccaya	缘
paccaya satti	缘力
paccayo	缘
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pana	此外
paramattha	神我
paramattha sacca	究竟谛
paramaṭṭha	究竟
parikamma	遍作
passaddhi	轻安 / 平静
patibhaga nimitta	似相
patta	钵
patthana	欲
pavatta	生命期间
peta	饿鬼
phala	果
phassa	触
piti	喜
puggala	个体
purohita	国师
puthujjana	凡夫
pāli	巴利语
rasa	作用
ratana	动张
sabhava	自性
sacca	谛
sadda	声音
saddha	信
saka	所有
samatha	止
sampatti	成就
sampayutta	相应
samuccheda	正断
samudaya	集
samudaya ariya sacca	集圣谛
samudaya sacca	苦因圣谛
samyojana	结缚
satta	有情
sobhana	美心
soka	愁
somanassa	悦
suddhodana	净饭
sukha	乐
tatra	彼处
tatramajjhattata	中舍性
tejo	火
thina	心力不足
thina middha	昏沉睡眠
uddhacca	掉举
upakkilesa	随烦恼
upekkha	舍
vatta	行仪
vatthu	依处
vikkhambhana	抽离
vipassana	观禅
vipatti	失坏
vippayutta	不相应
virati	远离
viriya	精进
visuddhi	清净
vuccanti	被称为
yoniso manasikara	wisely pay attention in mind
