-in	具有……者
Abhidhamma	阿毗达摩
Anguttara	增支部
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Mahāṭī	大义疏
Mama	我的
Sam	相应部
Samatha yānika	止行者
Sutta	经
Thera	长老
Visuddhi Magga	《清净之道》
adhicitta	增上心
adhimokkha	胜解
anatta	无我
anattānupassanā	无我随观
anicca	无常
aniccānupassanā	随观无常
animitta	无相
aniyyānika	非出离
anulomañāṇa	随顺智
anusaya	潜伏
arahant	阿拉汉
ariya	圣
ariya phala	圣果
arūpa	非色
atta	我
attha	目的状语
aṭṭha samāpatti	八定
bhagavā	世尊
bhante	尊者
bhaya	畏惧
bhikkhu	比库
bhāveti	修習
brahma	梵天神
dassana	洞见
dhamma	法
dhammānusārī	随法行
dhura	责任
diṭṭhippatta	得见者
domanassa	忧
dukkha	苦
dukkha sacca	苦圣谛
dukkhānupassanā	苦随观
ekatta	同一性
iriyāpatha	威仪
jhāna	禅那
jīva	命
kalāpa	色聚
kalāpa sammasana	聚思惟
kalāpasammasana	聚思惟
kamma	业
kamma-formation	业行
kho	的确
kiriyā	唯作
kosambī	高赏比
koṭi	倶胝
kāra	字
kāyasakkhī	身证者
magga	道
maggāgamana	道来由
manasa	意识
meditator	禅修者
mogharāja	摩咖拉嘉
nandī	喜
naya	法
nibbāna	涅槃
nicca	常
niddesa	广释
nikāya	部
nimitta	相
nāmakāya	名身
ojaṭṭhamakarūpa	食素第八色法
paccakkha	亲见
parama atta	最高我
paramattha	神我
parideva	悲
pariyāya	方便
passaddhi	轻安 / 平静
pañña	慧
paññatti	概念
paññindriya	慧根
paññā	慧
paññāvimutta	慧解脱
paṭicca	缘
paṭisambhidā	辨析
paṭisaṅkhānupassanā	省察随观
paṭisaṅkhānupassanāñāṇa	审查随观智
paṭivedha	通达
phala	果
pubbabhāga	前分
puggala	个体
pāli	巴利语
pīti	喜
rāhula	拉胡勒
rūpa	色
sacca	谛
saddhindriya	信根
saddhā	信
saddhānusārī	随信行
saddhāvimutta	信解脱
sadisūpacāra	等同近行
samatha	止
sammasana	思惟
sammasana ñāṇa	思惟智
sampajañña	正知
samudaya	集
samyojana	结缚
samādhi	定
samādhindriya	定根
samāpatti	等至
sappāya	适
sassata	常见
sati	念
satipaṭṭhāna	念处
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra dhammas	行法
saṅkhāra nimitta	行相
saṅkhārā	行
sekkha	有学
soka	愁
somanassa	悦
sotāpattimagga	入流道
suddha vipassanā	纯观
sukha	乐
suttanta	经
suññata	空
suññatā	空性
suññatānupassanā	空频观
sāsanā	教法
titthiya	外道
ubhatobhāgavimutta	双重解脱
udayabbaya	生灭
upacāra	近行
upanissayapaccaya	亲依止缘
upāyāsa	恼
vata	仪式
vaya	灭
vimokkha	解脱
vimokkha mukha	解脱门
vipassana	观禅
vipassanā	观
vipassanāgamana	维巴沙那来由
vipassanāyānika	观乘者
visuddhi	清净
vuṭṭhāna	出起
vīriya	精进
yuganaddha	轭结缚
yuganaddha naya	双缚法
ñāṇa	智
ādīnava	过患
ākāra	行相
āsava	漏
āvuso	朋友
