-in	具有……者
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Himavanta	喜马拉雅山
Lakkhaṇa	特相
Mahāṭī	大义疏
Sutta	经
Visuddhi Magga	《清净之道》
ahetuka	无因
ajjhatta	内在
akiriya	未做
akusala	不善
akusala dhamma	不善法
anicca	无常
anubodha	随觉
arahatta	阿拉汉
ariya	圣
ariya magga	圣道
atta	我
bahiddha	外在
bala	力
base	词典源型
bhava	有
bhavo	有
brahma	梵天神
cakkhu	眼
cetana	思考
cetasika	心所
citta	心
cittaja-oja	心生食素
cittassa	心
cuti	入灭
dassana	洞见
dassana kicca	照见作用
dhamma	法
dhammacakka	法之轮
domanassa	忧
dosa	瞋
duggati	恶趣
duggati bhava	恶趣生
dukkha	苦
dukkha sacca	苦圣谛
gandha	气味
gati	趣
ghana	密集
hadaya vatthu	心所依处色
haritaca	金肤
hetu	因
idha	于此
kamma	业
kammabhava	业有
kammaphala	业果
khandha	蕴
kicca	作用
kilesa	烦恼
kukkucca	追悔
kusala	善
loka	世间
madhu	蜂蜜
magga	道
mana	意
meditator	禅修者
metta	友谊
moha	痴
nibbāna	涅槃
paccaya	缘
paccaya pariggaha	缘摄受
paccupaṭṭhāna	现起
padaṭṭhāna	足处
pana	此外
parama atta	最高我
paramattha	神我
paramattha sacca	究竟谛
paramaṭṭha	究竟
pariccheda	节
parideva	悲
pariggaha	摄受
patthana	欲
phala	果
phassa	触
phusana	碰触
puggala	个体
pāli	巴利语
rasa	作用
roga	病的
sabhava	自性
sacca	谛
sadda	声音
saddha	信
sampayutta	相应
samuccheda	正断
samudaya	集
samudaya sacca	苦因圣谛
samyojana	结缚
sati	念
soka	愁
sotayatana	耳处
sugati	善趣
sugati bhava	善趣生
sukha	乐
suttanta	经
tatra	彼处
tejo	火
upanissaya	强依止
upekkha	舍
vata	仪式
vatta	行仪
vatthu	依处
vipassana	观禅
viriya	精进
visuddhi	清净
