tatramajjhattupekkhā	中舍性舍
thina	心力不足
ubbegā pīti	踊跃喜
uddhacca	掉举
upacāra	近行
upacāra samādhi	近行定
upacāra samādhi javana	近行定速行
upacārasamādhi	近行定
upanissaya	强依止
upasamasukha	寂乐
upekkhā	舍
upekkhā vedanā	舍受
upekkhāsambojjhaṅga	舍觉支
upekkhāya	舍受
uppāda	生起
upādisesa	五蕴剩余
upādāna	取
utu	季节
uṭṭhānaphalūpa jīvino	依靠奋斗结果生存者
vatthu	依处
vaṭṭa	轮回
vedanā	受
vevacana	同义词
vibhaṅga	分别
vicikicchā	疑
vicāra	伺
viharati	住
vikkhambhana	抽离
vikkhepa	散乱
vimokkha	解脱
vipassanā	观
visabhāga iriyāpatha	非同分姿势
visabhāga utu	非同分气候
visuddhi	清净
vitakka	寻
vitakko	思考
viññatti	表
viññāṇa	识
vodāna	净化
vāra	界限
vīriya	精进
vīriyasambojjhaṅga	精进觉支
yassa	名誉
yonisomanasikāra	如理作意
ñāṇa	智
ādinā	最初
āhananapariyāhananaraso	撞击、循环撞击作用
ānāpāna	入出息
ānāpāna nimitta	入出息禅相
ānāpāna paṭibhāganimitta	入出息似相
ārammaṇa	所缘
ārammaṇūpanijjhāna	所缘近思禅
āsevana	重复
āsevanā	亲近
ṭhapetvā	除了
ṭhiti	住
