-ka	具有……者
Bhikkhus	诸比库
Buddha	佛陀
Mahāṭī	大义疏
Nissaya	依词释
Visuddhimagga	《清净道论》
base	词典源型
bhaṅga	天然混紡
bhikkhu	比库
cetanā	思
citta	心
deva	神
dhamma	法
gati	趣
hadaya vatthu	心所依处色
kamma	业
kamma samuṭṭhāna	由业而生
kāla	咖拉
nibbāna	涅槃
nāma	名
nānakkhaṇika	不同的刹那
opapātika	化生者
paccaya	缘
payoga	精勤 / 加行
paṭisandhi	结生
purejāta	前生
purejātanissaya	前生依止
pāli	巴利语
samuṭṭhāna	生起之因
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāra dhammas	行法
upadhi	再生的基质
uppāda	生起
utusamuṭṭhāna	时节转起
vatthu	依处
vipāka	果报
vokāra	生命成分
ñāṇa	智
āhārasamuṭṭhāna	食等起
ṭhiti	住
