-in	具有……者
Bhikkhus	诸比库
Buddha	佛陀
Cetanā sutta	思经
Mahā	大
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Sam	相应部
Samyutta	相应部
Sutta	经
Visaya	（所缘）境
ahetuka	无因
akaniṭṭha	色究竟
akusalavipāka	不善果报
anatta	无我
anicca	无常
aniṭṭhārammaṇa	不可喜所缘
anuṭīkā	再复注
anāgāmī	不来者
anārammaṇa	无所缘
appītika	无喜
arahant	阿拉汉
atta	我
avicāra	无徘徊
avitakka	无投入
base	词典源型
bhikkhu	比库
brahma	梵天神
buddhapūjā	供养佛陀
cakkhu	眼
catuvokāra	四蕴
cetanā	思
chaddanta	六牙
citta	心
cittajaojā	心生食素
cittuppāda	心生起
cuti	入灭
deva	神
dhamma	法
dhammatā	法性
dhammā	诸法
dhammāyatana	法处
dhātu	界
diṭṭhi	见
duggati	恶趣
dukkha	苦
dvāra	门
ekatta	同一性
ekattanaya	同一性理
ekavokāra	一蕴
gabbhaseyyaka	胎生者
gandhadhātu	香界
gati	趣
gatinimitta	趣相
gāvuta	牛呼
hoti	发生
hīna	劣
iṭṭha	可喜的
iṭṭhārammaṇa	可喜所缘
janaka	生
janakakamma	令生业
jhāna	禅那
jīva	命
jīvitanavaka	命为第九的
jīvitanavaka kalāpa	命根九法聚
kalala	羯罗蓝
kalāpa	色聚
kamma	业
kamma nimitta	业相
kammajaojā	业生食素
kammanimitta	业相
kasiṇa	遍
kathāvatthu	论事
khaṇapaccuppanna	刹那现在
kusalavipāka	善果报
mahaggata	广大
mahāvipāka	大果报
manoviññāṇadhātu	意识界
meditator	禅修者
nibbāna	涅槃
nijjīva	非生命的
nimitta	相
nissatta	无有情
nāmakammaṭṭhāna	名业处
nānattakāya	种种身
nānākkhaṇika	异刹那
ojaṭṭhamaka	食素为第八的
ojā	食素
opapātika	化生者
paccaya	缘
pacchimabhavika	最后一生者
paccuppanna	现在
pana	此外
parama atta	最高我
paramattha	神我
parinibbāna	般涅槃
payoga	精勤 / 加行
pañcadvāra	五门
paññatti	概念
paṭibhāga	相似
paṭisandhi	结生
paṭṭhāna	众缘
peta	饿鬼
pāli	巴利语
pālileyyaka	巴利雷雅咖
pīti	喜
rasadhātu	味界
sadisūpacāra	等同近行
sahetuka	有因的
samatha	止
samaye	适时
sampayutta	相应
santatipaccuppanna	相续现在
santīraṇa	推度
sappītika	欢喜
sassata	常见
sattāvāsa	有情居
savicāra	有伺
savitakka	有寻
saññā	想
saṅkhāra	行
sekkha	有学
somanassa	悦
suddhāvāsa	纯居天
tihetuka	三因者
tiracchāna	畜生
tāta	亲爱的
upacāra	近行
upadhi	再生的基质
upanissaya	强依止
uparipaṇṇāsa	顶端五十
upekkhā	舍
upekkhāsahagata	舍俱
uppāda	生起
utu	季节
utuja ojaṭṭhamaka	时节生食素为第八的
vedanā	受
vehapphala	广果天
vimutta	解放
vinipāta	堕处
vinipātika	堕落者
vipassanā	观
viññāṇa	识
viññāṇadhātu	识界
vāra	界限
yamaka	双论
yoni	生
yonisomanasikāra	如理作意
yoniyo	生
ñāṇasampayutta	智相应
ādittapariyāya	《燃烧法门[经]》
āhāra	食
ākiñcaññāyatana	无所有处
ākāsānañcāyatana	空无边处
ārammaṇa	所缘
ārammaṇa dhamma	无所缘法
ārammaṇa paccaya	所缘缘
āruppa	无色
āyatana	入处
Ṭīkā	复注
ṭhapetvā	除了
ṭhiti	住
ṭhāna	处
ṭhānī	位置名词
