-in	具有……者
Abhidhamma	阿毗达摩
Buddha	佛陀
Mahā	大
Sam	相应部
abhisaṅkhāra	积聚
ahetuka	无因
akusala	不善
arūpī	非色的
avipāka	非果报
aṭṭhakathā	义注
base	词典源型
bhikkhu	比库
bhāvarūpa	性根色
bhūta	众生
brahma	梵天神
catusamuṭṭhānika	四种等起的
cetanā	思
citta	心
cittajarūpa	心生色
deva	神
dhamma	法
dhammā	诸法
dvihetuka	二因的
dvāra	门
gati	趣
hadaya vatthu	心所依处色
hetu	因
javana	速行
jhāna	禅那
jīvitanavaka	命为第九的
kalāpa	色聚
kamma	业
kammajarūpa	业生色
kammaviññāṇa	业识
karuṇā	悲悯
kiriyā	唯作
kusala	善
kāmasugati	欲善趣
mahāvipāka	大果报
majjhima	中
manasikāra	作意
manodvāra	意门
manodvāra vīthi	意门心路
meditator	禅修者
muditā	喜
naya	法
nibbāna	涅槃
nāma	名
nāmarūpa	名色
nānākkhaṇika	异刹那
opapātika	化生者
paccaya	缘
paccayo	缘
pacchājāta	后生
padhāna	中心词
padhāna naya	象征法
pariyāya	方便
pavatti	生命期间
paṭisandhi	结生
paṭṭhāna	众缘
puññābhisaṅkhāra	福行
pāli	巴利语
pīti	喜
rūpa	色
sahajāta	俱生
sahajātapaccaya	俱生缘
sampayutta	相应
santatighana	相续密集
saṅkhāra	行
somanassa	悦
suttanta	经
tadārammaṇa	彼所缘
tihetuka	三因者
tisamuṭṭhānika	三种等起的
upanissaya	强依止
uppāda	生起
upāda	所造
upādāya rūpa	所造色
utujarūpa	时节生色
vatthu	依处
vicāra	伺
vipassanā	观
vipāka	果报
vitakka	寻
viññāṇa	识
vīthi	心路
vīthicitta	心识的路线
vīthimutta	离路心
yoni	生
ñāṇa	智
ñāṇasampayutta	智相应
āhārajarūpa	食生色
ārammaṇa	所缘
āvajjana	转向
ṭhiti	住
ṭṭhiti	住立
