-in	具有……者
Buddha	佛陀
Mahā	大
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
Pañcupādānakkhandhā	五执取蕴
Sam	相应部
Samyutta	相应部
Sutta	经
abyākata	无记
adosa	无嗔
akaniṭṭha	色究竟
alobha	无贪
anantara	无间
anantarūpanissaya	无间亲依止
anatta	无我
anattānupassanā	无我随观
anattānupassanā ñāṇa	无我随观智
anicca	无常
apuññābhisaṅkhāra	非福行
apāya	苦界
arahant	阿拉汉
arūpa	非色
arūpabhava	无色有
atta	我
attadiṭṭhi	我见
attavādupādāna	我语取
atthi	有
avigata	不离去
avijjā	无明
avīci	无间地狱
aññamañña	相互
base	词典源型
bhava	有
bhavagga	有顶天
bhavasampatti	有成就
bhavataṇhā	有爱
bhavo	有
bhikkhu	比库
brahma	梵天神
buddhuppāda navamakhaṇa	佛陀出世第九刹时
catuvokārabhava	四蕴有
cetanā	思
cetasika	心所
citta	心
deva	神
dhamma	法
diṭṭhi	见
diṭṭhupādāna	见取
dukkha	苦
hetu	因
hirī	惭
kamma	业
kammabhava	业有
kammavipāka	业的果报
kammaññatā	适业性
karuṇā	悲悯
khandhā	蕴
kilesā	染
kusala	善
kāma	欲
kāmabhava	欲有
kāmupādāna	欲取
kāmāvacara	欲界
lahutā	轻快性
loka	世间
meditator	禅修者
muditā	喜
mudutā	柔软性
niddesa	广释
ottappa	愧
pakatūpanissaya	本性亲依止
pana	此外
paritta	小
pariyāya	方便
passaddhi	轻安 / 平静
pañcavokārabhava	五蕴有
paññindriya	慧根
paṭisandhi	结生
phalūpacāra	喻果
puññābhisaṅkhāra	福行
pāli	巴利语
rūpa	色
rūpabhava	色有
rūpāvacara	色界
saddhā	信
saddāyatana	声处
sahajāta	俱生
samanantara	等无间
samanupassati	随意观察
sammā	正
sammākammanta	正业
sampayutta	相应
sassata	常见
sati	念
saṅkhāra	行
saṅkhārā	行
sotāpattimagga	入流道
sīlabbatupādāna	戒禁取
tatramajjhattatā	中舍性
uccheda	断灭
upa	前缀upa
upanissaya	强依止
upapattibhava	生有
upādāna	取
vibhava	无有
ñāṇa	智
āyatana	入处
