-ka	具有……者
Buddha	佛陀
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Nissaya	依词释
anupādinna	无执取的
anuṭīkā	再复注
atthi	有
avigata	不离去
base	词典源型
bhāva	有
bhūtappasāda	净色
cakkhu	眼
cakkhu dasaka kalāpa	眼十法聚
cakkhu pasāda	眼净色
catusamuṭṭhāna	四種(條件)的生起
catusamuṭṭhānika	四种等起的
cittajaojā	心生食素
cittajarūpa	心生色
cittasamuṭṭhāna	心生
cittasamuṭṭhāna rūpa	心转起色
dhamma	法
dhātu	界
duka	二分（法）
ghana	密集
ghānapasāda	鼻净色
hadaya vatthu	心所依处色
janaka	生
jivhāpasāda	舌净色
jīvita	命
kalāpa	色聚
kamma	业
kamma samuṭṭhāna	由业而生
kammajarūpa	业生色
kammapaccaya	业缘
kammasamuṭṭhāna	业生
kicca	作用
kāyapasāda	身净色
lakkhaṇādicatukka	特相
mahāṭīkā	大复注
manodhātu	意界
manoviññāṇadhātu	意识界
meditator	禅修者
nibbāna	涅槃
ojaṭṭhamaka	食素为第八的
ojaṭṭhamaka rūpa	食素为第八法的色
ojā	食素
paccaya	缘
paccayapariggaha	缘摄受
paccayo	缘
pana	此外
pariggaha	摄受
pasāda	纯净
pañcavokāra	五蕴
paññatti	概念
paṭisandhi	结生
paṭṭhāna	众缘
phoṭṭhabba	触
pāli	巴利语
rūpa	色
sabhāga	同分
sabhāga utu	同分气候
sadda	声音
samuṭṭhāna	生起之因
samūha paññatti	组合概念
samūhaghana	组合密集
santati	相续
sotadasaka	耳十法
sotapasāda	耳净色
suttanta	经
sīta	冷
sītautu	令气候
tejo	火
upacaya	积聚
upatthambhaka	支持
upādinna	执取的
upādārūpa	所造色
utu	季节
utu samuṭṭhāna	由时节而生
utuja ojā	时节生食素
utujarūpa	时节生色
utusamuṭṭhāna	时节转起
vatthu	依处
vipassanobhāsa	观智之光
vipassanā	观
visabhāga utu	非同分气候
vāra	界限
ñāṇa	智
āhāra	食
āhāra samuṭṭhāna	由食而生
āhārajarūpa	食生色
āhārapaccaya	食缘
āhārasamuṭṭhāna	食等起
