-in	具有……者
-tā	状态衍生
Abhaya	无畏
Aṅguttara Nikāya	增支部
Bhikkhus	诸比库
Buddha	佛陀
Dhammānupassanā	法随观
Mahā	大
Mahāṭī	大义疏
Mūlaṭīkā	根本复注
Paṭiccasamuppanna	缘所生
Paṭisambhidā magga	无碍解道
Rūpakammaṭṭhāna	色业处
Sam	相应部
Samyutta	相应部
Sutta	经
Upalakkhaṇā	辨别法
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
abhisaṅkhāra	积聚
adhamma	非法
adhimāna	高估
anatta	无我
anicca	无常
anupassanā ñāṇa	随观智
arahant	阿拉汉
asubha	不净
atta	我
avijjā	无明
aviññāṇaka	无意识的
aññathatta	住
aṭisambhidā Magga	《无碍解道》
aṭṭhasālinī	胜义分明
bahiddhā	外
base	词典源型
bhante	尊者
bhaya	畏惧
bhikkhu	比库
brahma	梵天神
cakkhu	眼
cetiya	佛塔
cittajarūpa	心生色
deva	神
devaputta	男天人
dhamma	法
diṭṭhi	见
duggandha	臭气
dukkha	苦
dukkhadukkha	苦苦
dukkhānupassanā	苦随观
dvāra	门
dīghabhāṇaka	长部诵师
dīghanikāya	长部
hetu	因
iṭṭha	可喜的
janaka	生
jarā	老
jhāna	禅那
jāti	生
kamma	业
kammajarūpa	业生色
kammaṭṭhāna	业处
kasiṇa	遍
khaya	尽
khayadhamma	尽法
khaṇapaccuppanna	刹那现在
kilesavatthu	烦恼本身
kāraka	施动者
kāyagatāsati	身至念
kāye	于身
kāyānupassanā	身随观
lakkhaṇā	相
lokadhamma	世法
magga	道
mahāsatipaṭṭhāna	大念处经
mahāṭīkā	大复注
manasikāra	作意
manasīkāra	作意
maraṇa	死
meditator	禅修者
meghiya	美奇亚
māra	魔罗
naya	法
nayavipassanā	理法观
nibbāna	涅槃
nicca	常
nidassananaya	显示法
nikāya	部
nimitta	相
nipāta	不变化词
nirodha	灭
nirodhadhamma	灭法
nāmakammaṭṭhāna	名业处
paccaya	缘
pana	此外
parideva	悲
pariyāya	方便
pavatti	生命期间
paññā	慧
paṭibhāga	相似
paṭibhāga nimitta	似相
paṭicca	缘
paṭikūla	可厌
paṭikūlamanasikāra	厌恶作意
paṭisambhidā	辨析
paṭisandhi	结生
phassa	触
pāli	巴利语
roga	病的
rūpa	色
sabhāga	同分
sacca	谛
samatha	止
sammasana	思惟
sammasanañāṇa	触及智
sammohavinodanī	迷惑冰消
sammādiṭṭhi	正见
sammādiṭṭhi paññā	正见慧
samudaya	集
samudaya sacca	苦因圣谛
satipaṭṭhāna	念处
saviññāṇaka	有意识的
saṅkhata	有为
saṅkhāradukkha	行苦
sirimā	西蕊玛
soka	愁
sukha	乐
suttanipāta	《经集》
suññata	空
sāsava	有漏
taṇhā	渴爱
tissa	帝思
uccheda	断灭
udāna	《感慨》
upacāra	近行
upacāra jhāna	近行禅
upasagga	前缀
uppāda	生起
upāyāsa	恼
utu	季节
utujarūpa	时节生色
vatthu	依处
vaya	灭
vayadhamma	坏法
vaṇṇa	色
vaṭṭa	轮回
vedaka	受者
vedanā	受
vibhava	无有
vibhavataṇhā	无有爱
vipariṇāmadukkha	变易苦
vipassanā	观
virāga	离染
virāgadhamma	离法
visuddhi	清净
viññāṇa	识
ñāṇa	智
ādīnava	过患
ādīnavānupassanā	过患频观
āhārajarūpa	食生色
ārammaṇa	所缘
āsava	漏
āvuso	朋友
āyatana	入处
īti	灾
ṭhiti	住
