-ka	具有……者
Abhidhammattha saṅgaha	《摄阿毗达摩义论》
Bhikkhus	诸比库
Buddha	佛陀
Hadayavatthu	心生起的物质基础
Patisam	无碍解道
Sam	相应部
Thera	长老
Visuddhi Magga	《清净之道》
adhipaññā	增上慧
adhipaññā sikkhā	增上慧学
adhisamādhi sikkhā	增上定学
adhisīla	增上戒
anatta	无我
anicca	无常
aniccānupassanā	随观无常
aniccānupassī	无常随观者
anubandhanā	随逐
anubandhanā naya	随行法 / 随逐法
anubandhanānaya	随息法 / 随念法
anubhandhanā naya	随息法
anugamana	跟随
anupassanā	随观
anusaya	潜伏
anāgāmi	不来者
appanā	安止
appanā jhāna	安止禅
appanākosalla	安止善巧
appanākosalla dhammas	安止善巧法
arahant	阿拉汉
arahat	阿拉汉
arūpa	非色
asappāya	不适宜
assasissāmi	我将入息
assasissāmīti sikkhati	他学‘我将入息’
assasāmīti	在入息
assasāmīti pajānāti	他了知‘ 我入息’
assāsapassāsa	入出息
assāsapassāsa nimitta	入出息禅相
assāsapassāsa nimitta kāya	入出息相身
assāsapassāsakāya	呼吸身
attha	目的状语
atthi	有
atthiattha	存在
avijjamāna	不存在的
avijjamāna-vijjamāna	存在的、不存在的
bahiddhā	外
base	词典源型
bhante	尊者
bhaṅga	天然混紡
bhikkhave	诸比库
bhikkhu	比库
bhāva	有
bhāvanā	修习
bhāvanāya	依修习
buddha putta	佛子
cakkavatti	转轮王
cakkhu	眼
catuttha jhāna	四禅
catuttha jhāna samāpatti	入第四禅定
cetanā	思
cetanākāyasaṅkhāra	思身行
cittasaṅkhāra	心行
cittassa	心
dhamma	法
dhammā	诸法
dovārik	门卫
dubbala vipassanā	弱观
dukkha	苦
ekaggatā	一境性
gananānaya	数
hoti	发生
idha	于此
jaratā	老性
jhāna	禅那
jhāna samāpatti	禅定
kalāpa	色聚
kalāpasammasana	聚思惟
kamma	业
kamma nimitta	业相
kammaññatā	适业性
karajakāya	不净所生身
kattu	施动者
khattiya	刹帝利
kho	的确
kilesā	染
kāya	身
kāyadvāra	身门
kāyasaṅkhāra	身行
kāyasaṅkhāro	身行
kāyaviññatti	身表
kāye	于身
kāyānupassanā	身随观
lahutā	轻快性
lokuttara	出世间
lokuttara dhamma	圣法
magga	道
maggaṅga	道支
mahaggata	广大
mahaggata dhamma	大法
mahāthera	大长老
majjhima	中
manasikāra	作意
manasīkāra	作意
manodvāra	意门
meditator	禅修者
mudutā	柔软性
navattabba	不可说
navattabba dhamma	不可说法
naya	法
nibbidānupassanā	厌离随观
nibbāna	涅槃
nicca	常
nimitta	相
nirodha	灭
nisīdati	坐下
nābhi	轮毂
nāma	名
nāma kalāpa	名聚
nāmakāya	名身
ojā	食素
padhāna	中心词
padhāna naya	象征法
pajānāti	了知
pana	此外
parikamma	遍作
paritta	小
paritta dhamma	小法
passaddhi	轻安 / 平静
passasissāmi	我将出息
passasāmīti	在出息
patibhāga nimitta	似相
payoga	精勤 / 加行
pañcakkhandhā aniccā	五蕴无常
paññatti	概念
paññatti dhamma	概念法所缘
paññindare	慧力
paññā	慧
phassa	触
phusana	碰触
phusanā	接触 / 触
phusanā naya	接触法
phusanānaya	接触法
pīti	喜
pītisambojjhaṅga	喜觉支
rūpa	色
rūpakāya	色身
sabba	所有
sacca	谛
saha	同时
samannāhāra	专念
samatha	止
sammā	正
sammāvāyāma	正精进
sammāvāyāma maggaṅga	正精进道支
samādhi	定
samāpatti	等至
santati	相续
sappāya	适
sati	念
satta	有情
saññā	想
saṅgaha	包含
saṅkhāra	行
saṅkhāra dhamma	行法
saṅkhāradhamma	行法
sikkhati	他学
sikkhā	学
suddha kattu	单一主题
suddhakattu	单一主题
sukha	乐
sukhuma	细
suttanta	经
sāliyava	稻麦
sātthakasampajañña	有益正知
tassīla	习惯
tatramajjhattupekkhā	中舍性舍
tattheva	仅仅在那
udayabbaya	生灭
uddhacca	掉举
uggaha	学取
uggaha nimitta	取相
upacaya	积聚
upacāra	近行
upacāra samādhi	近行定
uppajjanti	生起
vacīdvāra	语门
vacīsaṅkhāro	语行
vacīviññatti	语表
vedanā	受
vicāra	伺
vijjamāna	存在
vimati	困惑
vipassanā	观
viriya	精进
visesa	特征
visuddhi	清净
vitakka	寻
vohāra sacca	世俗谛
vuccanti	被称为
yassa	名誉
yojana	由旬
ābhoga	意欲
ādīnava	过患
ākāsadhātu	空界
ānāpānassati	入出息念
āvuso	朋友
