-ka	具有……者
Adhicitta Sutta	增上心经
Aggi	火
Aggi Sutta	火经
Anguttara	增支部
Bhikkhus	诸比库
Buddha	佛陀
Dhātuvibhanga Sutta	界分别经
Lakkhaṇa	特相
Mahāsatipaṭṭhāna Sutta	大念处经
Mahāṭī	大义疏
Nissaya	依词释
Pathavī	巴踏威
Rūpakammaṭṭhāna	色业处
Sam	相应部
Sutta	经
Tathāgata	如来
Visuddhimagga	《清净道论》
adhicitta	增上心
anatta	无我
anicca	无常
aniccatā	无常性
arahattamaggañāṇa	阿拉汉道智
ariya	圣
atta	我
aññamañña	相互
base	词典源型
bhagavā	世尊
bhikkhave	诸比库
bhikkhu	比库
bhūta	众生
bodhi	菩提
bodhirājakumāra	菩提王子
caraṇa	行
cetovimutti	心解脱
citta	心
deva	神
dhamma	法
dhātu	界
dhātukammaṭṭhāna	界业处
diṭṭhi	见
dukkha	苦
dukkhasamphassa	苦触
ekanirodha	一起灭去
ekuppāda	同生
iriyāpatha	威仪
jaratā	老性
jarā	老
jhāna	禅那
jāti	生
jīva	命
kalāpa	色聚
kamma	业
kammaṭṭhāna	业处
kilesa	烦恼
kāya	身
lokavidū	知解世界者
magga	道
maggañāṇa	道智
mahābhūta	大种
mahāsatipaṭṭhāna	大念处经
mahāvagga	大品
mahāṭīkā	大复注
manasīkāra	作意
meditator	禅修者
māyā	诳
nibbāna	涅槃
nijjīva	非生命的
nikanti	微细的欲求
nikāya	部
nimitta	相
nipāta	不变化词
nissatta	无有情
nāmakammaṭṭhāna	名业处
paccayapariggahañāṇa	把握缘之智
padaṭṭhāna	足处
padhāna	中心词
pariññā	遍知
passaddhi	轻安 / 平静
paññatti	概念
paññāvimutti	慧解脱
purisadammasārathi	可调伏之人的驯驭师
putthujana	凡夫
pāli	巴利语
pīti	喜
rasa	作用
rūpa	色
rūpapariggaha	色摄受
sabhāva	本质
sabhāva lakkhaṇa	自性相
sacca	谛
saddhā	信
sadisupacāra	等近行
sahajāta	俱生
samatha	止
samathayānika	以止为乘者
sammappadhāna	正勤
sammasana	思惟
sammāsambuddha	正自觉者
sampajañña	正知
sampajāna	正知
satipaṭṭhāna	念处
satta	有情
saññā	想
saṅkhāra	行
saṅkhārupekkhā	行舍
suddhavipassanāyānika	纯观行者
sugata	善至
sukha	乐
sukhasamphassa	乐触
sāmañña	一般性
sāmañña lakkhaṇa	共性
sāsanā	教法
tejo	火
tikanipāta	三集
tikkha paññavā	敏锐智慧
udayabbaya	生灭
upasamasukha	寂乐
upaṭṭhānākāra	现起的行相
upādārūpa	所造色
vijjācaraṇasampanna	具足明智与践行
vipassanā	观
viriya	精进
visuddhi	清净
vitakka	寻
vohāra sacca	世俗谛
vāyo	风
ñāṇa	智
ākāsa	空间
ānāpānassati	入出息念
ānāpānassatisamādhi	入出息念定
āpo	水
āsava	漏
āsevana	重复
ṭhiti	住
