-in	具有……者
Abhidhamma	阿毗达摩
Bhikkhus	诸比库
Buddha	佛陀
Cetanā sutta	思经
Mahā	大
Mahāgandhārammaṇa	大键陀罗摩耶
Mahāṭī	大义疏
Pathavī	巴踏威
Pañcupādānakkhandhā	五执取蕴
Rūpakammaṭṭhāna	色业处
Sam	相应部
Sutta	经
Vedanānupassanā	受随观
Visuddhi Magga	《清净之道》
adhimokkha	胜解
ahetuka	无因
akiriyavāda	无作用论
akusala	不善
anatta	无我
anicca	无常
aniccatā	无常性
anuloma	随顺
anupassanā	随观
anusaya	潜伏
anusaya dhātu	随眠界
arahant	阿拉汉
arūpasattaka	七非色
asubha	不净
atta	我
aṭṭhakathā	义注
bala	力
base	词典源型
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
brahma	梵天神
cakkhu	眼
caraṇa	行
catusacca	四个真理
cetanā	思
chanda	欲
citta	心
cittā	姬达
dhamma	法
dhammacakka	法之轮
dhammā	诸法
dhātu	界
diṭṭhivisuddhi	见清净
domanassa	忧
dosa	瞋
dukkha	苦
dukkhasacca	苦谛
dvihetuka	二因的
ekaggatā	一境性
ghana	密集
gotama	果德玛
hasituppāda	生笑
hiri	自重
itthibhāva	女性根色
janaka	生
jaratā	老性
jarā	老
javana	速行
jhāna	禅那
jhānalābhī	得到禅定者
jāti	生
jīvita	命
kamma	业
kammassakatā	业自性
kammaviññāṇa	业识
kammaññatā	适业性
kasiṇa	遍
khandhā	蕴
kho	的确
kiriya	唯作
kusala	善
kāya	身
kāyapassaddhi	身轻安
lahutā	轻快性
lobha	贪
lohituppādaka	致佛淤血者
magga	道
maggavīthi	道心路
mahaggata	广大
mahādatta	大赐
manasikāra	作意
manodhātu	意界
manodvāra	意门
manodvāra vīthi	意门心路
manoviññāṇadhātu	意识界
maraṇa	死
meditator	禅修者
metta	友谊
micchattaniyata	邪性定
micchā	错误
micchādiṭṭhi	邪见
muditā	喜
mudutā	柔软性
mātughātaka	杀母者
natthikavāda	虚无论
naya	法
nevasaññānāsaññāyatana	非想非非想处
nibbatti	转生
nibbāna	涅槃
nimitta	相
niyata	决定
nāma	名
nāmaghana	名密集
nāmakammaṭṭhāna	名业处
nīvaraṇa	盖
ojā	食素
ottappa	愧
paccaya	缘
pana	此外
paramattha	神我
parideva	悲
parikamma	遍作
parittārammaṇa	小所缘
pariññā	遍知
passaddhi	轻安 / 平静
pavatta	生命期间
pavatti	生命期间
paññindriya	慧根
paññā	慧
paṭibhāga nimitta	似相
paṭisandhi	结生
paṭivedha	通达
paṭṭhāna	众缘
phalasamāpatti	果定
phassa	触
phassapañcamaka	触为第五的
pitughātaka	杀父者
puggala	个体
purisabhāva	男性根色
puññābhisaṅkhāra	福行
pāli	巴利语
pīti	喜
rakkhita	已守护
rūpa	色
rūpapariggaha	色摄受
sacca	谛
saddhā	信
samathayānika	以止为乘者
sammasana	思惟
sammattaniyata	正性定
sammohavinodanī	迷惑冰消
sammādiṭṭhi	正见
samudaya	集
samādhi	定
santati	相续
sasaṅkhārika	有行
saññā	想
saṅkhāra	行
saṅkhārupekkhā	行舍
sekkha	有学
soka	愁
suddhavipassanāyānika	纯观行者
sukha	乐
sukkhavipassaka	干观者
sāsanabrahmacariya	教梵行
tadārammaṇa	彼所缘
tatramajjhattatā	中舍性
taṇhā	渴爱
tejo	火
tihetuka	三因者
upacaya	积聚
upacāra	近行
upatthambhaka	支持
upekkha	舍
upekkhā	舍
upekkhāsahagata	舍俱
upāyāsa	恼
vasī	自在
vatta	行仪
vatthu	依处
vedanā	受
vicāra	伺
vijjā	[三]明
vinipātika	堕落者
vipassanā	观
vipāka	果报
viriya	精进
visuddhi	清净
vitakka	寻
viññatti	表
viññāṇa	识
viññāṇañcāyatana	识无边处
vāra	界限
vāyo	风
vīriya	精进
vīthi	心路
vīthimutta	离路心
yonisomanasikāra	如理作意
ñāṇa	智
ākiñcaññāyatana	无所有处
āpodhātu	水界
āsevanapaccaya	重复缘
āyatana	入处
