-in	具有……者
Buddha	佛陀
Mahāṭī	大义疏
Sutta	经
arahant	阿拉汉
atta	我
atīte	过去
avijjā	无明
base	词典源型
bhava	有
bhikkhu	比库
brahma	梵天神
carita	性行
citta	心
deva	神
devī	皇后
dhamma	法
diṭṭhi	见
domanassa	忧
dukkha	苦
jarā	老
jāti	生
jīva	命
jīva atta	命我
kamma	业
kammabhava	业有
kammavaṭṭa	业轮转
kilesa	烦恼
kāla	咖拉
kāraka	施动者
maraṇa	死
meditator	禅修者
mūla	根本
nibbāna	涅槃
nāmarūpa	名色
nānākkhaṇika	异刹那
opapātika	化生者
paccayo	缘
paccayākāra	缘行相
parideva	悲
pariññā	遍知
paṭisandhi	结生
paṭṭhāna	众缘
phassa	触
pāli	巴利语
santati	相续
sassata	常见
soka	愁
somanassa	悦
sukha	乐
suttanta	经
taṇhā	渴爱
tihetuka	三因者
uccheda	断灭
udaka	伍达格
upacaya	积聚
upanissaya	强依止
upapattibhava	生有
uppāda	生起
upāyāsa	恼
vaṭṭa	轮回
vaṭṭakathā	轮回论
vedaka	受者
vedanā	受
vipassanā	观
vipāka	果报
vīthimutta	离路心
ñāta	所知
ñātapariññā	智遍知
ṭhiti	住
